fold_id,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date
1,2010-03-31,2015-04-01,2015-04-02,2016-04-01,2016-04-04,2017-03-31
2,2010-03-31,2016-04-01,2016-04-04,2017-03-31,2017-04-03,2018-04-03
3,2010-03-31,2017-03-31,2017-04-03,2018-04-03,2018-04-04,2019-04-03
4,2010-03-31,2018-04-03,2018-04-04,2019-04-03,2019-04-04,2020-04-02
5,2010-03-31,2019-04-03,2019-04-04,2020-04-02,2020-04-03,2021-04-05
