metric,mean,std,min,max
best_val_auc,0.5250434186740598,0.03379097174552019,0.49447419431759615,0.5690973337408439
best_strategy_score,4.6280551270565145,0.784741030093921,3.939983534131496,5.906594394905071
val_auc_thr_0_5,0.5215419184245487,0.037881161007298304,0.48276478574172715,0.5690970099771034
val_f1_thr_0_5,0.7223729472394566,0.013261856119908344,0.7057277982133474,0.7377911344853493
test_auc_thr_0_5,0.5122472506040049,0.023539677017079173,0.47547542285767685,0.5331159426460657
test_f1_thr_0_5,0.708989418473301,0.03181006186892089,0.6761710794297353,0.7495639172688762
val_strategy_cumulative_return,0.41961828399897183,0.052799685377088755,0.34681338466592915,0.48162001059799464
val_strategy_sharpe,1.906079277037944,0.41553820483878395,1.5489290901822446,2.5743190315236073
val_strategy_max_drawdown,-0.11900416779380998,0.0729122412344478,-0.21713415492428734,-0.021454612211771584
val_strategy_avg_turnover,1.0248366013071897,0.32487670877185193,0.49019607843137253,1.3529411764705883
test_strategy_cumulative_return,0.4795978175347354,0.38367522803410425,0.07673286668731127,1.0882217358447046
test_strategy_sharpe,1.5962078212906685,0.957266791992082,0.4617223488613764,2.7206381830909443
test_strategy_max_drawdown,-0.1608511429937088,0.07854429791154628,-0.24430839670512616,-0.07719893999175664
test_strategy_avg_turnover,0.8745098039215687,0.18603929651304144,0.5555555555555556,0.9934640522875816
