fold_id,train_start_date,train_end_date,val_start_date,val_end_date,test_start_date,test_end_date,n_train_rows,n_val_rows,n_test_rows,n_train_seq,n_val_seq,n_test_seq,best_auc_epoch,best_val_auc,best_strategy_epoch,best_strategy_score,selected_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,val_strategy_cumulative_return,val_strategy_sharpe,val_strategy_max_drawdown,val_strategy_avg_turnover,test_strategy_cumulative_return,test_strategy_sharpe,test_strategy_max_drawdown,test_strategy_avg_turnover
1,2010-03-31,2015-04-01,2015-04-02,2016-04-01,2016-04-04,2017-03-31,12001,2520,2520,11711,2520,2520,3,0.49447419431759615,5,4.473493088250079,topk,2,0.56,0.5,True,0.4892958147334306,0.7057277982133474,0.5300164776898605,0.7133585722011898,0.414063151154479,1.8438743172423797,-0.13328528333793277,1.0980392156862746,0.45574945972792213,2.385077120471544,-0.07719893999175664,0.8627450980392157
2,2010-03-31,2016-04-01,2016-04-04,2017-03-31,2017-04-03,2018-04-03,14521,2520,2520,14231,2520,2520,1,0.515115751692634,1,3.939983534131496,topk,2,0.54,0.5,True,0.515115751692634,0.7131865216237729,0.5038539980403851,0.6761710794297353,0.45814379615721856,1.5489290901822446,-0.08153186909763377,1.3529411764705883,0.5282652199307816,1.5137595004492705,-0.1353807339067159,0.9803921568627451
3,2010-03-31,2017-03-31,2017-04-03,2018-04-03,2018-04-04,2019-04-03,17041,2520,2520,16751,2520,2520,3,0.5514358971628185,3,5.906594394905071,topk,3,0.6,0.5,True,0.5514362299778478,0.7225738396624474,0.5187744117860362,0.6781115879828326,0.34681338466592915,2.5743190315236073,-0.021454612211771584,0.49019607843137253,0.07673286668731127,0.4617223488613764,-0.24430839670512616,0.5555555555555556
4,2010-03-31,2018-04-03,2018-04-04,2019-04-03,2019-04-04,2020-04-02,19561,2520,2520,19271,2520,2520,2,0.5690973337408439,2,4.753811834026762,topk,3,0.58,0.5,True,0.5690970099771034,0.7325854422123663,0.47547542285767685,0.7277419354838709,0.3974510774192377,1.9838078689549692,-0.14161491939742443,1.0065359477124183,0.24901980548295777,0.8998419535802081,-0.24345460985237433,0.9934640522875816
5,2010-03-31,2019-04-03,2019-04-04,2020-04-02,2020-04-03,2021-04-05,22081,2520,2520,21791,2520,2520,6,0.49509391645640594,1,4.066392783969163,topk,2,0.58,0.5,True,0.48276478574172715,0.7377911344853493,0.5331159426460657,0.7495639172688762,0.48162001059799464,1.579466077286518,-0.21713415492428734,1.1764705882352942,1.0882217358447046,2.7206381830909443,-0.10391303451257106,0.9803921568627451
