epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0003,0.6939976102613105,0.6627727126318311,0.7601585728444005,0.5343437626762587,topk,3,0.6,0.5,True,1.8981098185271117,0.2289617003029465,-0.06037350235722094,1.0512820512820513,4.230036670636872
2,0.0003,0.6838095411521776,0.6630195909076266,0.7628968253968255,0.5504216241192099,topk,2,0.58,0.5,True,2.7495063797520203,0.3546407371856686,-0.050505217906520294,1.0,6.19589963990518
3,0.0003,0.6807282236354301,0.664009684229654,0.7574083375188347,0.5659823613637035,topk,3,0.6,0.5,True,2.323709581945943,0.3415750165864875,-0.047240126572836605,0.6794871794871795,5.37014171048271
4,0.0003,0.680656780050766,0.6629644653153798,0.7567567567567568,0.5636009036913265,topk,3,0.6,0.5,True,2.8860730232809804,0.370027704294265,-0.050573051400772506,0.7564102564102565,6.539640142611784
5,0.0003,0.6802569521664183,0.664357140329149,0.7484725050916496,0.5678399789389418,topk,3,0.6,0.5,True,2.816073371414161,0.43607164349616445,-0.050573051400772284,0.8717948717948718,6.515480793786155
6,0.0003,0.6769651277234319,0.6637987379043822,0.7546412443552434,0.5539649322634459,topk,2,0.6,0.5,True,2.859719672535368,0.4230063973725309,-0.050505217906520405,0.7692307692307693,6.588558757497045
7,0.0003,0.6738978604686352,0.6696966941394503,0.7306889352818372,0.529231620600079,topk,3,0.58,0.5,True,1.6724292596044708,0.17880741400829847,-0.1180626202043854,0.6538461538461539,3.736704329298635
8,0.0003,0.6728644242266032,0.6748214551380702,0.6927437641723356,0.5343706262709839,topk,2,0.6,0.5,True,2.295357079957505,0.22664745865796498,-0.050505217906520294,0.7307692307692307,5.067986349183302
9,0.00015,0.670052358419916,0.6718329915924678,0.7214514407684098,0.5261490231053778,topk,2,0.58,0.5,True,2.18766906324282,0.2810520141946744,-0.09833128656187584,0.7307692307692307,4.959364026035949
10,0.00015,0.6686773293419831,0.6792878277718075,0.6880366342301087,0.5152759831404079,topk,2,0.58,0.5,True,2.003158664821262,0.3175768108812944,-0.1191060026598626,0.7692307692307693,4.6549053318056
