epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0001,0.6109821504750068,0.607423958891914,0.414614773629865,0.40724371438149515,topk,4,0.58,0.5,True,0.3598830262394718,0.023667023531873888,-0.06859153622999281,0.49358974358974356,0.952228429308802
2,0.0001,0.6028590428334937,0.5997255978130159,0.36301950805767597,0.42754810593362386,topk,3,0.58,0.5,True,0.9122301740562637,0.04920513525882986,-0.04209363562990465,0.38461538461538464,2.177341801486888
3,0.0001,0.6011536671205868,0.5953544005515083,0.3552750225428314,0.44901106268856855,topk,3,0.56,0.5,True,0.5064419948968392,0.03200790705461398,-0.04209363562990465,0.3076923076923077,1.3874493281299365
4,0.0001,0.6004607396370509,0.5930635473084829,0.3238636363636363,0.4687039892725444,topk,3,0.56,0.5,True,0.6595264758084747,0.0426347121834898,-0.04209363562990465,0.38461538461538464,1.6999494421795502
5,5e-05,0.5978667791417648,0.5930918894116841,0.2768304914744233,0.47887361716392896,topk,3,0.56,0.5,True,0.6871278091281119,0.034421352079568424,-0.03876231056306545,0.23076923076923078,1.8181257857331357
6,5e-05,0.5962648624376914,0.5926374198898436,0.26353421859039833,0.4861226952732149,topk,3,0.56,0.5,True,0.6871278091281119,0.034421352079568424,-0.03876231056306545,0.23076923076923078,1.8253748638424216
7,2.5e-05,0.5969719003674696,0.5924334499571059,0.24793388429752067,0.49128528327187393,topk,3,0.56,0.5,True,0.6871278091281119,0.034421352079568424,-0.03876231056306545,0.23076923076923078,1.8305374518410806
8,2.5e-05,0.596847755354953,0.5921167322567531,0.2484472049689441,0.49724170298357356,topk,3,0.58,0.5,True,0.0,0.0,0.0,0.0,0.49724170298357356
