epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0001,0.653350435283307,0.6242599496765743,0.689880304678999,0.4953793054151477,topk,4,0.56,0.5,True,2.167422195994037,0.2653535268924594,-0.07762640906432161,1.0576923076923077,4.8849692127266024
2,0.0001,0.6116357948921688,0.6059130693238879,0.6873958911715713,0.5137216759080558,topk,4,0.58,0.5,True,3.4774692218233376,0.4720746389486321,-0.040424072800826494,1.3141025641025643,7.821463243605842
3,0.0001,0.6050808523538633,0.6021823262411451,0.6840066408411732,0.5225890696320804,topk,3,0.56,0.5,True,3.499558006465249,0.4431415221950523,-0.030002753902784063,1.1153846153846154,7.906065050029607
4,0.0001,0.6018248006155446,0.6013224745553637,0.6858383071079761,0.5342441973266346,topk,3,0.56,0.5,True,3.8794612708717455,0.4930180572604619,-0.030002753902784063,1.1025641025641024,8.783049007437203
5,0.0001,0.5988683953142936,0.599945656836979,0.6830870279146141,0.5429290608502078,topk,3,0.56,0.5,True,3.517393840497547,0.3650042799296993,-0.018935056516479087,1.1794871794871793,7.776956070935469
6,0.0001,0.5975463095485551,0.6006281103406633,0.6885422270037654,0.5476837811067202,topk,4,0.56,0.5,True,2.9750261759095236,0.28807142772416383,-0.03170217019025312,0.9423076923076923,6.649840526835633
7,5e-05,0.5971937308420178,0.5991397303248208,0.6831140350877193,0.5482773233669291,topk,3,0.56,0.5,True,2.68076935172827,0.2610397584459636,-0.024021932077586294,1.0384615384615383,5.964587851407704
8,5e-05,0.5978349067236083,0.5986012507998754,0.6788079470198676,0.5501894229492795,topk,4,0.56,0.5,True,2.859913205208363,0.2838473740475631,-0.024021932077586516,1.0576923076923077,6.361749042999593
