date,stock,open,high,low,close,volume,return_1d,log_return_1d,return_5d,return_21d,volatility_20d,rsi_14,macd,macd_signal,macd_hist,macd_hist_pct,ma10_ratio,ma20_ratio,ma60_ratio,atr_14,atr_pct,hl_spread,volume_z_20,dc_event,dc_trend,dc_run_length,dc_dist_extreme,dc_tmv,dc_event_density_20,return_21d_cs_z,rsi_14_cs_z,macd_hist_pct_cs_z,vix_level,vix_change_5d,vix_z_60,sentiment_score,interest_rate,rate_change_5d,credit_stress,hyg_return_5d,macro_news_pressure,mkt_return_1d,mkt_return_5d,mkt_return_21d,mkt_volatility_20d,mkt_dc_event,mkt_dc_trend,mkt_dc_run_length,mkt_dc_tmv,net_margin,operating_margin,revenue_growth_qoq,debt_to_equity,asset_turnover,has_fundamental_data,future_return_1d,target_up_1d,split
2025-01-02,AAPL,248.92999267578125,249.1000061035156,241.82000732421875,242.52517700195312,55740700,-0.0262358490907044,-0.0265861495183878,-0.0555769466162312,0.017780532990157,0.011864931651574,46.04906248098954,4.048729298580071,5.242419210393116,-1.1936899118130455,-0.0049219215986038,-0.0349758564847925,-0.0240904989669976,0.0307750772535386,4.780896868024554,0.0197129918939222,0.0300174969018608,0.3295493911974164,0.0,-1.0,0.0,0.0,0.058566693,3.0,0.4137784909273087,-0.0825795287113148,-0.5291878351995145,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,-0.002009484004471984,0,train
2025-01-02,GOOGL,190.6499938964844,192.0,187.5,188.5582733154297,20370800,0.0006868642992765,0.0006866285159548,-0.0340625246958893,0.1058785911384414,0.0231786576725209,55.48852727965465,4.374628380865232,5.076277017332762,-0.7016486364675298,-0.0037211235572392,-0.0120423726546675,0.0053836871391459,0.0772912956106883,5.08758544921875,0.0269815019663787,0.0238653011454282,-0.6458473290773349,0.0,-1.0,1.0,0.0006868643,0.034062523,5.0,1.6359540579587248,1.194640982664405,-0.2257316275954012,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.01245841039607587,1,train
2025-01-02,JNJ,145.22999572753906,145.77000427246094,143.77999877929688,139.00341796875,6051300,-0.0041488115019326,-0.0041574416986822,-0.0125472034957089,-0.0696382755909709,0.0090976149423023,36.33400850940348,-2.233229711051792,-2.385319572208209,0.1520898611564178,0.0010941447504295,-0.0043760417271807,-0.0150526362021793,-0.0621550890196962,6.002073015485491,0.0431793193290795,0.0143162341468122,-0.7389569587907887,0.0,-1.0,2.0,0.0047440557,0.073230416,1.0,-0.7989739146594135,-1.3970890338886206,0.9911449902086946,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.0011804962782642203,1,train
2025-01-02,JPM,240.9199981689453,243.27999877929688,239.4499969482422,232.77810668945312,9220900,0.0012098251929262,0.0012090939441575,-0.0095331971880859,-0.0253806710953182,0.0116626650154414,50.39166128462434,0.1145629137575383,0.3780968419153283,-0.26353392815779,-0.0011321250558036,0.0063019747010399,-0.0022490722321121,0.0209261832471432,9.211446489606583,0.0395717904103571,0.016453445167465,0.0792435355878218,0.0,1.0,4.0,-0.012914385,0.041802336,1.0,-0.184992585140407,0.5050021173860771,0.428539648401693,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.013666618901990057,1,train
2025-01-02,META,589.719970703125,604.9099731445312,587.8200073242188,596.8453369140625,12682300,0.0234497093564816,0.0231789889632727,-0.0140024021979546,0.0116279057738135,0.0165064918092123,50.80070367106841,1.534597406975422,4.780557105656462,-3.24595969868104,-0.0054385273579005,0.0046339217666637,-0.0150259041599742,0.0205540188528676,15.423732212611608,0.0258420921348177,0.0286338264449561,0.0277298791903397,1.0,1.0,0.0,0.0,0.02344971,4.0,0.328423707690081,0.5603481923099777,-0.6597403670511625,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.008994638763338392,1,train
2025-01-02,MSFT,425.5299987792969,426.0700073242188,414.8500061035156,414.568603515625,16896500,-0.0069276683468146,-0.0069517760457875,-0.0472309481208553,-0.0287716183576864,0.012154406640525,36.11169352992523,-1.1209266957015984,2.354795424694979,-3.4757221203965774,-0.0083839492005371,-0.030874123647692,-0.0469468157922869,-0.0178958720047414,9.070164271763392,0.0218785604432367,0.0270642810345283,-0.3540694279126252,0.0,-1.0,0.0,0.0,0.07895075,1.0,-0.2320348580379874,-1.427169685475546,-1.404084137919687,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.011395637878936826,1,train
2025-01-02,NVDA,136.0,138.8800048828125,134.6300048828125,138.26470947265625,198247200,0.0299352792191178,0.0294959645577037,-0.0136214765901383,-0.0022394599045504,0.0224309115096069,51.41617436441704,-0.5624432108042186,-0.8756787221512005,0.3132355113469819,0.0022654769266589,0.0160813725541746,0.009190129809971,-0.00590602790307,5.146117074148996,0.0372193096601226,0.0307381398006145,0.0169033749784284,1.0,1.0,0.0,0.0,0.02993528,6.0,0.1360431278291779,0.6436253494859511,1.2871548168397633,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.04453757048093232,1,train
2025-01-02,UNH,508.0,512.1099853515625,503.2900085449219,488.5857849121094,4234900,-0.0026686280253099,-0.0026721951607306,-0.0031416955305572,-0.1677430398846545,0.0265895240022554,36.97079037772483,-18.48259730655633,-19.5865021130111,1.1039048064547714,0.0022593878870093,0.0008431140477589,-0.034724704835272,-0.1051840625427042,22.561288016183035,0.0461767179208147,0.0180520536228355,-0.8405102096576357,0.0,1.0,4.0,-0.012990322,0.031190561,6.0,-2.1599715172093075,-1.310928337192427,1.2856160427775472,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.016828254428066458,1,train
2025-01-02,V,317.7799987792969,319.67999267578125,312.4100036621094,311.540283203125,5369500,-0.005189244034406,-0.0052027549223616,-0.0194915462612068,-0.0071055999114535,0.0099235794801576,52.08902991959007,2.645426988801887,3.338401225129567,-0.6929742363276801,-0.0022243487326212,-0.0068107744332109,-0.0008230757163609,0.0386299336431603,6.250015258789063,0.0200616600025762,0.0233356306786053,-0.2003308117086434,-1.0,-1.0,0.0,0.0,0.02028612,5.0,0.0685356532355749,0.734667048839671,0.1525214976343513,17.93000030517578,0.2564821114228393,0.2250374494008072,-0.1120462707516763,4.574999809265137,-0.0034851384370107,0.0081566471342056,0.0027985299399102,-0.0020290483863163,-0.00245714938342,-0.0277065915065962,-0.0281999555361598,0.0092197586859533,0.0,-1.0,0.0,0.027771467,0.0,0.0,0.0,0.0,0.0,1.0,0.0016220713770180861,1,train
2025-01-03,AAPL,243.3600006103516,244.17999267578125,241.88999938964844,242.03782653808597,40244100,-0.002009484004472,-0.0020115057263199,-0.0604584897884286,0.0029260403746529,0.0118725141958838,45.36378151578055,3.1599242350457644,4.825920215323646,-1.6659959802778816,-0.0068832049817325,-0.0351242107350281,-0.0261197837694042,0.0274125796168498,4.688097272600446,0.0193692751264789,0.0094613032575351,-0.2692969449926766,0.0,-1.0,0.0,0.0,0.06045849,3.0,0.0866603297048654,-0.594718686349086,-1.02950634805703,16.1299991607666,0.0950441046868983,-0.3086721161570228,0.1531222134036977,4.5960001945495605,0.003712644328111,0.0066471618797082,0.0017761555051143,-0.0417651615332428,0.0125034739227025,-0.0156152338500895,-0.0165053079303274,0.0095934269638639,0.0,-1.0,1.0,0.015615234,0.0,0.0,0.0,0.0,0.0,1.0,0.006738980762493574,1,train
2025-01-03,GOOGL,191.3699951171875,193.2100067138672,189.97999572753903,190.90740966796875,18596200,0.0124584103960758,0.0123814430028845,-0.0194785958332431,0.1206361896835397,0.0230613380906287,58.414775131772686,4.157733911377818,4.892568396141773,-0.7348344847639554,-0.0038491668929604,-0.0014993713246277,0.0131718478922862,0.0878669296499154,5.171995980398996,0.0270916459570774,0.0169192540772859,-0.7042874038324508,0.0,-1.0,2.0,0.0131538315,0.02202848,5.0,1.777330585453021,1.052336093727987,-0.3764256706725009,16.1299991607666,0.0950441046868983,-0.3086721161570228,0.1531222134036977,4.5960001945495605,0.003712644328111,0.0066471618797082,0.0017761555051143,-0.0417651615332428,0.0125034739227025,-0.0156152338500895,-0.0165053079303274,0.0095934269638639,0.0,-1.0,1.0,0.015615234,0.0,0.0,0.0,0.0,0.0,1.0,0.026487318512181224,1,train
