dd_half_stop,dd_cash_stop,recover_above,recovery_periods,val_ok,selection_score,val_cumret,val_sharpe,val_mdd,val_turnover,test_cumret,test_sharpe,test_mdd,test_turnover,all_cumret,all_sharpe,all_mdd,all_turnover
-0.1,-0.18,-0.08,1,False,-2.803951733172425,-0.14961251097512696,-0.769822088024251,-0.18228708439041275,0.16336633663366337,0.4352473120788436,1.0638957192329443,-0.144232694662499,0.5575221238938053,-0.1902690335343763,-0.3179270729760475,-0.1902690335343763,0.005
-0.1,-0.18,-0.08,2,False,-2.803951733172425,-0.14961251097512696,-0.769822088024251,-0.18228708439041275,0.16336633663366337,0.4352473120788436,1.0638957192329443,-0.144232694662499,0.5575221238938053,-0.1902690335343763,-0.3179270729760475,-0.1902690335343763,0.005
-0.1,-0.2,-0.08,1,False,-0.06023448428089234,0.2848537965991016,0.785119859833189,-0.18459460743500056,0.6237623762376238,0.4352473120788436,1.0638957192329443,-0.144232694662499,0.5575221238938053,-0.1351008716174552,-0.09086692877599771,-0.2065084448694685,0.04875
-0.1,-0.2,-0.08,2,False,-0.06023448428089234,0.2848537965991016,0.785119859833189,-0.18459460743500056,0.6237623762376238,0.4352473120788436,1.0638957192329443,-0.144232694662499,0.5575221238938053,-0.1351008716174552,-0.09086692877599771,-0.2065084448694685,0.04875
-0.1,-0.22,-0.08,1,False,-0.07430224974155925,0.2848537965991016,0.785119859833189,-0.18459460743500056,0.6237623762376238,0.4352473120788436,1.0638957192329443,-0.144232694662499,0.5575221238938053,8.121809429189712,0.932224378318018,-0.2205762103301354,0.475
-0.1,-0.22,-0.08,2,False,-0.07430224974155925,0.2848537965991016,0.785119859833189,-0.18459460743500056,0.6237623762376238,0.4352473120788436,1.0638957192329443,-0.144232694662499,0.5575221238938053,8.121809429189712,0.932224378318018,-0.2205762103301354,0.475
-0.1,,,1,False,-0.12399555175169102,0.2848537965991016,0.785119859833189,-0.18459460743500056,0.6237623762376238,0.4352473120788436,1.0638957192329443,-0.144232694662499,0.5575221238938053,12.719348904020526,1.0105849994931126,-0.2702695123402672,0.58
-0.12,-0.18,-0.08,1,False,-2.644526946883967,-0.14663483987223502,-0.6773880338759931,-0.18118024223818785,0.16336633663366337,0.4009116955458669,0.973771383743054,-0.17319178055620665,0.5619469026548672,-0.1902690335343763,-0.3179270729760475,-0.1902690335343763,0.005
-0.12,-0.18,-0.08,2,False,-2.644526946883967,-0.14663483987223502,-0.6773880338759931,-0.18118024223818785,0.16336633663366337,0.4009116955458669,0.973771383743054,-0.17319178055620665,0.5619469026548672,-0.1902690335343763,-0.3179270729760475,-0.1902690335343763,0.005
-0.12,-0.18,-0.1,1,False,-2.644526946883967,-0.14663483987223502,-0.6773880338759931,-0.18118024223818785,0.16336633663366337,0.4009116955458669,0.973771383743054,-0.17319178055620665,0.5619469026548672,-0.1902690335343763,-0.3179270729760475,-0.1902690335343763,0.005
-0.12,-0.18,-0.1,2,False,-2.644526946883967,-0.14663483987223502,-0.6773880338759931,-0.18118024223818785,0.16336633663366337,0.4009116955458669,0.973771383743054,-0.17319178055620665,0.5619469026548672,-0.1902690335343763,-0.3179270729760475,-0.1902690335343763,0.005
