date,selected_stocks,n_holdings,gross_return,net_return,turnover,equity,drawdown,exposure,risk_flag,kept_existing,newly_added,forced_keep_count,entry_candidates_count
2010-05-12,V,1,-0.1483428494111495,-0.1493428494111495,1.0,0.8506571505888505,-0.1493428494111495,1.0,,0,1,0,1
2010-05-19,NVDA|V,2,0.0025546726238628503,0.0015546726238628503,1.0,0.8519796439731642,-0.14802035602683583,1.0,,1,1,1,6
2010-05-26,NVDA|V,2,-0.00577592328345765,-0.00577592328345765,0.0,0.8470586749105076,-0.15294132508949243,1.0,,2,0,1,7
2010-06-03,MSFT|V,2,-0.002978659405454054,-0.003978659405454054,1.0,0.8436885169466034,-0.1563114830533966,1.0,,1,1,0,1
2010-06-10,MSFT|V,2,0.032499679135794796,0.032499679135794796,0.0,0.8711081230379225,-0.1288918769620775,1.0,,2,0,1,0
2010-06-17,MSFT|UNH,2,-0.053595377097385655,-0.054595377097385656,1.0,0.8235496465680713,-0.17645035343192872,1.0,,1,1,0,2
2010-06-24,AMZN|UNH,2,-0.0632316832057433,-0.0642316832057433,1.0,0.7706516665655091,-0.2293483334344909,1.0,,1,1,1,5
2010-07-01,AMZN|MSFT,2,0.0,-0.001,1.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2010-07-09,AMZN|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2010-07-16,AMZN|JNJ,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,1
2010-07-23,JNJ,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2010-07-30,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,3
2010-08-06,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2010-08-13,AAPL|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,5
2010-08-20,AAPL|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2010-08-27,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2010-09-03,V,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2010-09-13,V,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2010-09-20,V,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2010-09-27,MSFT|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,4
2010-10-04,JPM|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2010-10-11,JPM|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2010-10-18,JPM|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,0
2010-10-25,JPM|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,0
2010-11-01,JPM,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2010-11-08,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2010-11-15,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2010-11-22,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2010-11-30,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2010-12-07,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2010-12-14,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2010-12-21,V,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,1,0,2
2010-12-29,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2011-01-05,UNH|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2011-01-12,V,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2011-01-20,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2011-01-27,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2011-02-03,JNJ,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,1,0,1
2011-02-10,JNJ,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2011-02-17,JNJ,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2011-02-25,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2011-03-04,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2011-03-11,,0,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,0,0,0
2011-03-18,NVDA,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,0,1,0,1
2011-03-25,NVDA,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2011-04-01,NVDA,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2011-04-08,NVDA|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,1
2011-04-15,AAPL|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2011-04-25,AAPL|GOOGL,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,2
2011-05-02,GOOGL,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2011-05-09,GOOGL,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2011-05-16,GOOGL,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2011-05-23,GOOGL|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,2
2011-05-31,V,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2011-06-07,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,5
2011-06-14,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,0
2011-06-21,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,0
2011-06-28,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,0,0
2011-07-06,JPM,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,0,0
2011-07-13,JPM|NVDA,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,2
2011-07-20,NVDA,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2011-07-27,JNJ|NVDA,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,2
2011-08-03,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2011-08-10,GOOGL|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2011-08-17,GOOGL|JPM,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2011-08-24,JPM|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2011-08-31,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,3
2011-09-08,JNJ|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2011-09-15,JPM|V,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,1
2011-09-22,JNJ|JPM,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,1,7
2011-09-29,JNJ,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
2011-10-06,JNJ|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,7
2011-10-13,JNJ|MSFT,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,2,0,1,2
2011-10-20,JNJ|UNH,2,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,1,0,4
2011-10-27,UNH,1,0.0,0.0,0.0,0.7698810148989436,-0.23011898510105644,0.0,cash_lock,1,0,1,0
