n_bootstrap,block_length,paired_periods,cumret_diff_mean,cumret_diff_ci_5,cumret_diff_ci_95,prob_sticky_beats_static_cumret,prob_static_beats_sticky_cumret,sharpe_diff_mean,sharpe_diff_ci_5,sharpe_diff_ci_95,prob_sticky_beats_static_sharpe,prob_static_beats_sticky_sharpe,mdd_diff_mean,mdd_diff_ci_5,mdd_diff_ci_95,prob_sticky_beats_static_mdd,prob_static_beats_sticky_mdd
1000,3,114,-0.31583496623040036,-0.8690894650406421,0.18751629628372993,0.151,0.849,-0.4659063561610016,-1.2404481851388267,0.30029248574597517,0.149,0.851,-0.024095031019212256,-0.13184891300228155,0.06923300869297792,0.346,0.654
1000,5,114,-0.27270840192335116,-0.8499254133874413,0.22496286317328332,0.195,0.805,-0.4176154383722074,-1.218187712343611,0.3688383180824091,0.187,0.813,-0.01469458373865146,-0.12340867267748973,0.08947364864455579,0.43,0.57
1000,10,114,-0.2865475496696654,-0.8458558544226271,0.1922396828766882,0.168,0.832,-0.41582827044228327,-1.1787962565188657,0.3540917253321457,0.172,0.828,-0.015906261842944896,-0.1364430223080545,0.08195870357063474,0.429,0.571
1000,15,114,-0.29506411393571547,-0.864382018235372,0.165208516050036,0.16,0.84,-0.4281082506290926,-1.1691818894304007,0.2920639607627896,0.165,0.835,-0.01787484490811567,-0.13558173278476493,0.09547726257400745,0.423,0.577
1000,20,114,-0.2988323182065558,-0.825240632470253,0.13206281939521441,0.143,0.857,-0.4250201895469432,-1.1210992497939363,0.23442411588456452,0.153,0.847,-0.01441756468420177,-0.1269936866445586,0.08084936678614035,0.444,0.556
