bootstrap_id,diff_cumret_sticky_minus_static,diff_annret_sticky_minus_static,diff_sharpe_sticky_minus_static,diff_mdd_sticky_minus_static
1,-0.28994595948609936,-0.1127301890292145,-0.48258530613200407,-0.04558925471601849
2,-0.07473565751011224,-0.04631450056106867,-0.21827252583244383,-0.052461030447936485
3,-0.24050099073323516,-0.08444652745227099,-0.4489675365878234,-0.0842070203599623
4,-0.42642272357322597,-0.21660610677963799,-1.0451814173244256,-0.24446827216894462
5,-0.4297498819952561,-0.13170155600858546,-0.5403287297770194,0.00135216187436904
6,0.04589322278469132,0.019074673027927647,0.07872715569266231,0.13142763954029912
7,-0.18013481709822987,-0.08783470268134763,-0.42183151343595915,-0.06304552545094255
8,-0.13110490497649885,-0.060382195880457123,-0.2700402432436179,-0.09389909727405854
9,-0.15359282165596655,-0.05925175264400728,-0.26625660206040636,0.00321536421466051
10,-0.03946910603420606,-0.014201241078134474,-0.040148646592621184,0.03147222599495614
11,-0.19662284819136788,-0.06003485442824341,-0.3901417176301756,-0.0014334937980338136
12,0.18433267844691903,0.0712621580519337,0.2899286918982119,-0.021950792238922157
13,0.28693300620787743,0.11174799937877777,0.42118675198353756,0.07273945752710687
14,-1.0116801948241814,-0.31804276651258157,-1.223642974576057,-0.007551906350477866
15,-0.21176858192949677,-0.06639507684978563,-0.3133260210594426,-0.004994088725329249
16,-0.17146351662309323,-0.10061488285923625,-0.5145552278679113,-0.14566135673797775
17,-0.08030143068951312,-0.03212285326380715,-0.16381625569894526,0.058982631623060944
18,-0.2409476656597509,-0.10470465895552228,-0.48887742926932687,0.0019315983753418475
19,-0.13825834304502738,-0.06255870636369931,-0.2785888095609886,0.018982983784961105
20,0.14298384575297107,0.05580421921965417,0.2198421537054388,-0.007197326787238056
21,-0.8443336763641913,-0.2982062857539691,-1.1245025055690638,-0.0033389133500230095
22,-0.5444366078245005,-0.25452527312933027,-1.1880972057083643,-0.2179570407612832
23,-0.45082674342570883,-0.20068999184021685,-0.9729389683380745,-0.13503834947063753
24,-0.09805835277146668,-0.038897706662243126,-0.18803935371466335,0.02048284134719136
25,-0.18166022205429289,-0.06607454595379525,-0.23738265299557115,0.009681651929234425
26,-0.45962553083299507,-0.2187712997680148,-0.9900281395468434,-0.27689021053350793
27,-0.3531455028748962,-0.13144146906653997,-0.4973361107937117,-0.02938558194558638
28,-0.26118518343588293,-0.11252884283970588,-0.5839240039400453,-0.06364177732290321
29,-0.26660718286730334,-0.0883726213735927,-0.42394387913368337,-0.0237122610734799
30,-0.9492006280367715,-0.35140815505586076,-1.5594097669490186,-0.1783498104279343
31,-0.2425336804738416,-0.10526142537826699,-0.4914609218501422,-0.028177010467287378
32,-0.15942745079869725,-0.053051568593130094,-0.22559692627758432,0.05551404950409822
33,-0.07724387519520959,-0.03273197965605634,-0.15394385994603,0.08160425485220357
34,-0.0929604863977902,-0.03803525248198558,-0.1571563465752051,0.03308665637920927
35,0.0360902913235468,0.016358164090490068,0.05397003144759057,0.06953261453487936
36,0.05852678287459079,0.018767028701272892,-0.019311906072118523,0.0057632725523723005
37,-0.10684850349493269,-0.04558852447395001,-0.22468919271486618,-0.020469080906964865
38,-0.009047585817544945,-0.003258112729528362,-0.029925664695869658,0.06776180945536825
39,-0.3584655685902045,-0.14999848649283087,-0.6917688503555459,-0.057110983998294285
40,-0.024495980052876565,-0.010611915711515874,-0.04925127773409327,-0.021521778604047914
41,-0.5261611371601169,-0.17479327698767744,-0.8061295428028967,0.00768848900461061
42,0.15607596421759196,0.05281434850521549,0.22705369408803,0.012489343470407643
43,-0.1655208315946386,-0.0619577149431052,-0.2276404756977929,0.020646054350004328
44,-0.5063893693954094,-0.18950748601094936,-0.8028558069341509,0.007064925616232065
45,-0.15986965699189848,-0.06392385014854374,-0.22940293370917803,0.006515575136011753
46,-0.12797814168452204,-0.04665036144637824,-0.2238639155759955,0.06444542349794924
47,-0.38293417378913963,-0.16679098807937798,-0.8781608301316752,-0.07062496461712886
48,-0.031505596412443326,-0.01186612569878509,-0.09227793773311643,0.007719453812340071
49,-0.14280594730024543,-0.054843704399622384,-0.20018377645814572,0.02000655547098662
50,-0.21634650072608386,-0.08752596671837165,-0.36117494835455366,-0.054893508662206436
51,0.03175165052237894,0.010818382147493644,0.06789566063125085,-0.007799532579328083
52,0.3665237515445954,0.13859058284251935,0.604131501676011,0.03642938813017127
53,-0.7200203054502697,-0.2986226468536006,-1.3399202399398438,-0.20093922013274101
54,-0.2662641448720835,-0.09971223047310995,-0.48266343029883607,-0.014445754637345098
55,-0.2699534766582752,-0.10649448735161227,-0.4940416695444359,0.04978135704069375
56,-0.5005747630745199,-0.20332452963037184,-0.8475096947049637,-0.13387401330832938
57,-0.546343972562658,-0.2729086035754239,-1.4417602775314649,-0.2145405593789791
58,-0.08765000161145164,-0.03305409093950007,-0.14413049149756074,-0.03183346493081529
59,-0.6893415827234712,-0.28401451656158183,-1.174195492957348,-0.1044051834619214
60,0.0024150130606230835,0.0010263151943035176,-0.0011554342741078583,0.03652525248073868
61,-0.09142156097331133,-0.03405359480902148,-0.10779332132969799,0.0021653959128208333
62,-0.032796139796421264,-0.014415171240285907,-0.06891157878822969,-0.01566669384554853
63,-0.45930668126640184,-0.20813539493041855,-1.108813884100507,-0.14634949848961498
64,-0.3659711833068777,-0.1383682861375719,-0.5687913700972367,0.005552974817666589
65,-0.37993002388613006,-0.14539018372300694,-0.7215145737547053,-0.030710656087095
66,0.15376575011263682,0.07172143577911838,0.29910666764584937,0.13845386038717722
67,-0.11026721617012714,-0.054396224441967234,-0.2692561217136524,-0.0272569088347826
68,-0.28593904175566154,-0.09630027600423907,-0.3893465744944521,-0.004609364603702093
69,-0.249656408584376,-0.0862392541446062,-0.3045835834631637,0.022930586944486908
70,-0.30824837430400875,-0.09687816916621372,-0.3727652195847011,-0.047738079492600005
71,-0.09541281705873805,-0.02746742052429685,-0.16321502295402524,-0.011209919568653137
72,-1.3960293952814538,-0.412527093062822,-2.1305351958329637,-0.012732963478408799
73,-0.41717205708379157,-0.16949887594760926,-0.6648569214215301,-0.1600431152910935
74,-0.24231058743412182,-0.09991288739604287,-0.42406203695058287,-0.0681231811383578
75,-0.4234727332752495,-0.15073462810329707,-0.7050710513753358,-0.06219488606098067
76,0.004874790370447801,0.0020066761712798087,0.012675570212715426,0.05019610164935184
77,-0.42951539764821756,-0.17274471577402495,-0.7943477051727492,0.009974808035926985
78,-0.35619481702487077,-0.12166216232111138,-0.5874944261720647,-0.010138811775394663
79,-0.48925696324828283,-0.17845585417640852,-0.6931021081503138,-0.047533745115650006
80,-0.661738914582664,-0.21445752442589305,-0.7002498583891248,0.026096228087274853
81,-0.33990920036857086,-0.134123294507553,-0.5847033859230091,-0.04369821495758541
82,-0.13112051512010692,-0.04953597645570573,-0.16011238027643881,-0.023958058529807702
83,-0.004728587684231789,-0.0025616005321408286,-0.036725574010263995,-0.024009785249857418
84,-0.5785034687392501,-0.17803101668212484,-0.8178981663945064,0.0022441218365097937
85,-0.29916021906668466,-0.11401721939321585,-0.4250428354734245,0.030544029557148522
86,-0.5083434625250092,-0.18225197918528924,-0.8346879788076174,0.013288752448176622
87,-0.34780006370304717,-0.11716325133536598,-0.5268162739208446,-0.045145483541383036
88,0.16772746138311012,0.060983116025173256,0.27689860167130065,0.03635294882800599
89,-0.26530966803827316,-0.12377607786804867,-0.6286085700441312,-0.1081825841903854
90,-0.07656831621958837,-0.033922107229166665,-0.15214147679968387,-0.04016765782703602
91,-0.3383940807207706,-0.11641972367237319,-0.5054077082081562,-0.08949285107287785
92,-1.168031711778868,-0.3828460128961253,-1.5177068514590684,0.015457316051426861
93,0.11653607123254117,0.046672965937418764,0.1957429685456915,0.03668823565783319
94,0.09584489252786899,0.032337235505986994,0.09630496981249403,0.027378058348484613
95,-0.4448171280336679,-0.16189550276173814,-0.7270900058000442,-0.016061907015360144
96,-0.22874479968992534,-0.10765209531187725,-0.49192103242961666,-0.07524865019689408
97,-1.297403404150556,-0.3925391474917912,-1.685643512383945,-0.030032742927233236
98,-0.044980831759389495,-0.025416434257707232,-0.09362885619993899,-0.018456072996649642
99,0.009191032732191795,0.003798331868090088,0.016435012807096527,0.06562206720654995
100,-0.10670387775695778,-0.047393439678506843,-0.22451284083769496,-0.06264033326006324
101,0.05086806745050243,0.02023626172756643,0.0874171708185813,0.0013128997476190563
102,-0.2837585033110619,-0.1107003930253716,-0.4670479239412822,-0.02173632028613437
103,-0.22723565373622023,-0.1111680906758441,-0.5765025155174478,-0.12842280710609455
104,-0.3213960931871549,-0.1254808395360434,-0.5114809197624063,0.010469764389563596
105,-0.2348316149965789,-0.09853166492572074,-0.4527254642622273,-0.04096483162873865
106,-0.5644785918003286,-0.19169349663838653,-0.7896731705810175,-0.09610596269754479
