bootstrap_id,diff_cumret_sticky_minus_static,diff_annret_sticky_minus_static,diff_sharpe_sticky_minus_static,diff_mdd_sticky_minus_static
1,-0.12441869070813882,-0.03993582759804237,-0.2073606864677069,-0.054645268665130864
2,-0.5174137315586051,-0.18868006561367,-0.7853003703650019,-0.04450308504421374
3,-0.9935838091656506,-0.29861282997617833,-1.2479757224967643,-0.013796920559126957
4,0.18736446521673011,0.0683992622693379,0.27986431652498545,0.06721610417008239
5,0.1600611905624747,0.06866093386732852,0.3001484806641225,0.11810771631053418
6,-0.5555870694796237,-0.16207979116786442,-0.622102782444754,0.12566015956391186
7,-0.11994246609819648,-0.048534053335259175,-0.2026098145175012,-0.007157231725400726
8,-0.2330080432091639,-0.09911926423237705,-0.49010224795577445,-0.02848249021488436
9,-0.6123490513752319,-0.19967538469238755,-0.9576433563877309,-0.005983458633712857
10,-0.2969420993205709,-0.0867224764870218,-0.0963777906205745,-0.01951604521805017
11,-0.15016657790660304,-0.06073368717924055,-0.27992809801103713,0.016197918546250745
12,-0.1835337549763585,-0.05310030938931454,-0.2719801330204117,0.0008239303929903352
13,-0.10551483320409238,-0.05547140039473997,-0.26886917505259667,-0.022533544261940985
14,-0.1342231332761652,-0.052634542995659395,-0.25612176304790335,-0.08689269227453578
15,0.34047100754153414,0.1385252098647164,0.59219447370882,0.0019989341284339934
16,-0.11815283500526608,-0.04925409049719942,-0.21936560758217147,0.013409694257248361
17,-0.20639457081175094,-0.0853294492107175,-0.3802309646452038,0.060025440592988644
18,0.04793562839685883,0.01648472593925354,0.08954708931086874,-0.011471862479820016
19,-0.3291455114293096,-0.11231572783658605,-0.4820637595142211,-0.008196141705883675
20,-0.1537446314891654,-0.06540422972911653,-0.28665377406835696,-0.10884864213234968
21,-0.113880579716918,-0.039304693467145935,-0.1902695044847813,0.04273927268380451
22,-0.09936596858185776,-0.03864560494990843,-0.18444586377485872,0.053218198757506996
23,0.016975230076936798,0.0053625115352013975,0.043419402434554666,-0.020691044288994487
24,-0.274767226581778,-0.08954355691166915,-0.3083193306458476,0.0512498919191281
25,-0.13731468527697577,-0.057268745855466596,-0.2353038371292872,-0.07650347585225181
26,-0.40742411454331084,-0.1322306487185052,-0.5471305052362286,-0.0340784264814773
27,-0.2405109527214223,-0.10467713086370511,-0.43176371811854036,-0.052753276746410616
28,-0.988522480622454,-0.31573904703491507,-1.234480618056288,0.028046120728561386
29,-0.5010437186952665,-0.171353264029233,-0.7394523792450249,-0.04344758950029781
30,0.23552175059937763,0.09530583143315363,0.3964237152024424,0.05955287387416319
31,-0.5029268051149427,-0.17663563070433663,-0.6486981203667156,-0.008661803422198577
32,-0.8738231753912304,-0.24274330001936173,-0.8455870587013385,-0.03190343695332243
33,-0.8370680488447402,-0.2534054937050205,-1.1354161986529792,-0.08800602521461043
34,-0.5837866179148898,-0.19087686191820707,-0.8060549642190877,0.00868281965793194
35,-0.005838044964918021,-0.0019468735293419748,-0.07210589053835159,0.04101958739845013
36,-0.11765036702020804,-0.047126057557439704,-0.2424395990957801,-0.024912306076898538
37,-0.21621093007037262,-0.09277222513365835,-0.3792141128186192,-0.08215934004089975
38,0.19550897004076995,0.06614214148679065,0.25316182672614407,0.050537360485146676
39,-0.02944250035317042,-0.012198182189231632,-0.06973983676016748,-0.007952679479553248
