bootstrap_id,cumulative_return,annualized_return,sharpe,max_drawdown
1,0.41475004353711453,0.16577918167814687,0.8196673923921037,-0.20929095839763345
2,0.742330214757849,0.2782183531621627,1.298016052880488,-0.12364330489517739
3,0.02672797348299638,0.011729679227245438,0.16086709445951886,-0.27974850366517157
4,0.4844754617466267,0.1908397874669896,0.9209835784889666,-0.15618042521879438
5,0.18733624618601374,0.0788707944367939,0.4436324073700658,-0.2940806739230992
6,0.39187448430889593,0.15740764926020345,0.8505883090944154,-0.18946450089138356
7,0.4492603099866097,0.1782668819815163,0.9444787761819133,-0.162757736424478
8,-0.04578195045497613,-0.02050525831358363,0.02878984820874208,-0.31631144339028927
9,0.16244359926270868,0.06881184171279964,0.41219415621664246,-0.25771155104954524
10,0.6267368568284974,0.24000801818608575,1.1517217311831893,-0.17109956618433753
11,0.19169070540485333,0.0806182733771934,0.46628960768679817,-0.22883970556120958
12,0.7648477846720108,0.2854955438572009,1.369278292768892,-0.16155667492194925
13,0.8007943616697337,0.2970061428260431,1.3451816869016648,-0.10303173809657595
14,0.350963465308618,0.14224226313876764,0.7651429591394289,-0.21410243894476633
15,1.9566702800433564,0.6148955513998675,2.657252316045563,-0.11297579852446471
16,-0.116460394305402,-0.05326977753120754,-0.14136115873465566,-0.2777229421484796
17,-0.11934484349056473,-0.05463745844216572,-0.1525833533844907,-0.3701276629781711
18,0.22087537935486212,0.09223943777158983,0.4906584911977089,-0.29876539667629376
19,0.1773056738241845,0.07483179454195699,0.4317206534852846,-0.22885027274771608
20,0.915830495021345,0.3330043049042102,1.410589288716037,-0.21571707628056092
21,0.8732649544257214,0.31982862934084944,1.4290375683579495,-0.1663540162214172
22,-0.0977704299621408,-0.044467560395981764,-0.11162234745293154,-0.2651741689899154
23,0.16716165440970743,0.07072754005503934,0.4271530447161055,-0.2755767698954861
24,-0.10284417089044529,-0.046846947367749414,-0.1157874577302824,-0.393328927060814
25,0.3825025483131539,0.1539557423282505,0.7963280737671805,-0.1580888516383614
26,0.6179621567468663,0.23704646211229496,1.0718661784998784,-0.21105416629931983
27,0.7454970262918366,0.2792449559649346,1.3037547355992742,-0.11301437850963603
28,-0.10024375804209085,-0.045626519843919744,-0.07524253409952783,-0.29403105628005555
29,0.07301239759130063,0.03164556750483216,0.25331948635091023,-0.24197913107247238
