bootstrap_id,cumulative_return,annualized_return,sharpe,max_drawdown
1,0.9452472749209186,0.342014742982915,1.5151819697245552,-0.2089527992613882
2,0.7677258558037108,0.2864219322208772,1.2402332376292757,-0.23261148997013226
3,1.1712310850048602,0.40883300046733484,1.6455156234462456,-0.14238430523380452
4,0.30088651871762884,0.12332608997420413,0.6899237728284893,-0.2603301778175393
5,1.2838082208173067,0.44067264810377016,2.055034429193107,-0.16812886054090714
6,1.099579437442014,0.3880860511731743,1.6358297436340883,-0.14238430523380452
7,0.7866408380337344,0.29248942271792844,1.3107077533430282,-0.14238430523380452
8,0.44343144820382063,0.1761694170817767,0.9253010374445592,-0.2089527992613881
9,0.9656203478353367,0.3482105934516604,1.3638984780199996,-0.14238430523380463
10,0.08949885450190109,0.03862352321714191,0.2835236642164554,-0.3069837442600989
11,0.11433922232831994,0.0490269547185167,0.31696336298492467,-0.2814164229956442
12,0.48032002352911385,0.1893648883794241,0.9073545569794219,-0.26124761987120804
13,0.903659269812843,0.32925365998456724,1.395337504541102,-0.14238430523380463
14,0.956711693962254,0.345505726713599,1.5078445374556295,-0.14238430523380452
15,0.03130221906189434,0.013719965034587833,0.1792806260638047,-0.29841667077887324
16,0.27287340969506224,0.11256679649194878,0.6483678172127858,-0.22455701622853286
17,0.6001594765203673,0.23101021078754758,1.0929493342291212,-0.2089527992613882
18,1.192078973713579,0.41479761291630224,1.6184099238381726,-0.1839160727894824
19,0.3008003350617461,0.1232931877652097,0.6682345282433813,-0.3211527259861813
20,0.3481006029817657,0.14117148943170155,0.7194230525794862,-0.21147609532632106
21,0.30660448412664243,0.12550631862137518,0.5938171560220352,-0.2168695271073776
22,0.23590435356082984,0.09816346667339082,0.5269654734281305,-0.21741646047096863
23,0.981328192257988,0.3529632364217139,1.5328141625910665,-0.16812886054090714
24,-0.0032631617045912886,-0.00144397637672522,0.11730169299789664,-0.3993057610473718
25,1.3109238843731257,0.44821001551828976,1.916143553228409,-0.14238430523380452
26,0.8730964003028376,0.31977612510980347,1.3278618501352761,-0.14711626622779683
27,1.115483171416693,0.39272472519188817,1.9828585159551413,-0.14011173686103917
28,0.5184621343774332,0.20281725137835438,0.9969902610660788,-0.28822124986684927
29,1.2102325188330547,0.4199656442853845,1.7951147381457881,-0.14238430523380452
30,1.911771667204448,0.6040074913093909,2.569587081337705,-0.14452740864336766
31,0.6087176612806826,0.2339166357677842,0.958003598599161,-0.21719340509985885
32,0.9135279390202122,0.33229577852718317,1.4961548135699065,-0.14238430523380463
33,-0.001868818045440479,-0.0008266454193249784,0.10825101523886847,-0.2377753021778256
34,0.49460470230461673,0.1944253589847944,0.9827388649252872,-0.23852252235174132
35,1.9819113881148969,0.620976127990958,2.7058312291946938,-0.11414160678874907
36,0.8144808451525227,0.30135502244182955,1.3540272499813024,-0.2089527992613881
37,0.3971089602859095,0.1593299893562301,0.7992359152435112,-0.39332688973223906
38,1.5730446524078765,0.5186612851993007,2.058793823835505,-0.14855056329037475
39,0.6055455861096277,0.23284038320343137,1.1025889645411562,-0.21881540855663817
40,0.9330037793078616,0.33827382737449696,1.367192088817942,-0.1953093616755771
41,1.152453358790229,0.40343325448523815,1.9371240164990924,-0.15188962832918362
42,1.4567967337651808,0.48793612997913494,2.212959190617079,-0.14238430523380452
