variant,delta_test_auc_vs_full,delta_test_f1_vs_full,delta_test_fixed_cumret_vs_full,delta_test_fixed_sharpe_vs_full,delta_test_fixed_mdd_vs_full,delta_test_fixed_turnover_vs_full
no_dc,-0.0033062550069742347,0.07405257727123493,-0.25242434084692955,-0.24048235414927277,0.11877959837858654,0.0
dc_only,-0.012849687585143987,0.21809326985123556,0.022330285471139355,0.25608751672017815,0.15428591734479757,0.4473684210526315
