metric,mean,std,median,min,max
val_auc_thr_0_5,0.5227598617848556,0.03234816517558591,0.5216228732937289,0.46078219916729235,0.5859780586386091
val_f1_thr_0_5,0.6879540447815021,0.08222031997580116,0.6975313105602639,0.3916211293260473,0.775609756097561
test_auc_thr_0_5,0.5204430304338434,0.04295672252151585,0.5188565520453121,0.44528819595398444,0.6195059985885674
test_f1_thr_0_5,0.6721698604105729,0.13885470510367184,0.710444891428281,0.11868686868686867,0.7663645518630412
selected_val_cumulative_return,0.2454311665489491,0.1485136109913566,0.22762201408800176,0.0016203509602279453,0.6247718893132044
selected_val_sharpe,2.3359672092684756,1.2684886217548952,2.45794478138529,0.14572666417013225,4.247098296518969
selected_val_max_drawdown,-0.09433157890648618,0.06232635823718247,-0.08120889949456367,-0.22669754327782232,-0.020808420632403846
selected_val_avg_turnover,0.9929487179487179,0.2211002986279264,1.0064102564102564,0.38461538461538464,1.3076923076923077
selected_test_cumulative_return,0.1020756171793876,0.15830649436615718,0.0699645392345547,-0.18084664581763354,0.452130804160255
selected_test_sharpe,1.0009970152794097,1.0654537775529578,0.8022502027633194,-0.9593338956082634,3.2836205103421796
selected_test_max_drawdown,-0.11190532233168786,0.08054571970262552,-0.07863056761226334,-0.3022365773699005,0.0
selected_test_avg_turnover,0.8762820512820513,0.26308041525252795,0.9230769230769231,0.0,1.1282051282051282
fixed_val_cumulative_return,0.1396858335110729,0.1346283453186491,0.12496369775571958,-0.06792278776429783,0.4895257788747214
fixed_val_sharpe,1.4500173137850871,1.0572740304909427,1.3782455161659906,-0.2968827495166647,3.7876277329965253
fixed_val_max_drawdown,-0.0848927751215737,0.07486502586075063,-0.07209967871058892,-0.24542528246644701,-0.0010000000000000009
fixed_val_avg_turnover,0.7923076923076923,0.36260931941974817,0.9038461538461539,0.07692307692307693,1.2307692307692308
fixed_test_cumulative_return,0.05365840932950968,0.12674862161388142,0.0523697950910097,-0.18101168744365426,0.25398420792130416
fixed_test_sharpe,0.6269257545973228,1.3262739412062565,0.6586401870439624,-2.003929318660139,2.6586393625215754
fixed_test_max_drawdown,-0.11455613562370312,0.0866258531414598,-0.10562458794913127,-0.3546988349252036,0.0
fixed_test_avg_turnover,0.7692307692307692,0.3343698200802586,0.8846153846153846,0.0,1.2692307692307692
