strategy_type,cost_bps,cumret_mean,cumret_std,sharpe_mean,sharpe_std,mdd_mean,turnover_mean
selected_test,5.0,0.1147310133447128,0.16077563793640248,1.10788675244941,1.0887491438846923,-0.10967050508071044,0.8762820512820513
selected_test,10.0,0.1020756171793876,0.15830649436615718,1.0009970152794097,1.0654537775529578,-0.11190532233168786,0.8762820512820513
selected_test,20.0,0.0772058935207255,0.15371261270871303,0.7870199176953634,1.026628815569647,-0.11698128028953239,0.8762820512820513
fixed_test,5.0,0.06436083018268071,0.12919108513617983,0.7240391189400944,1.3564337121416221,-0.11263607722800292,0.7692307692307692
fixed_test,10.0,0.05365840932950968,0.12674862161388142,0.6269257545973228,1.3262739412062565,-0.11455613562370312,0.7692307692307692
fixed_test,20.0,0.03260854484354318,0.12241250980514039,0.43185336976153704,1.2683474476485324,-0.11854493730637088,0.7692307692307692
