date,selected_stocks,n_holdings,top1_stock,top1_prob,gross_return,net_return,turnover,equity,drawdown,exposure,kept_existing,newly_added,forced_keep_count,entry_candidates_count
2010-05-12,V,1,V,0.60712993,-0.1483428494111495,-0.1493428494111495,1.0,0.8506571505888505,-0.1493428494111495,1.0,0,1,0,1
2010-05-19,NVDA|V,2,NVDA,0.6370581,0.0025546726238628503,0.0015546726238628503,1.0,0.8519796439731642,-0.14802035602683583,1.0,1,1,1,6
2010-05-26,NVDA|V,2,V,0.66266215,-0.00577592328345765,-0.00577592328345765,0.0,0.8470586749105076,-0.15294132508949243,1.0,2,0,1,7
2010-06-03,MSFT|V,2,MSFT,0.60036814,-0.002978659405454054,-0.003978659405454054,1.0,0.8436885169466034,-0.1563114830533966,1.0,1,1,0,1
2010-06-10,MSFT|V,2,MSFT,0.59373504,0.032499679135794796,0.032499679135794796,0.0,0.8711081230379225,-0.1288918769620775,1.0,2,0,1,0
2010-06-17,MSFT|UNH,2,UNH,0.60216516,-0.053595377097385655,-0.054595377097385656,1.0,0.8235496465680713,-0.17645035343192872,1.0,1,1,0,2
2010-06-24,AMZN|UNH,2,UNH,0.62703806,-0.0632316832057433,-0.0642316832057433,1.0,0.7706516665655091,-0.2293483334344909,1.0,1,1,1,5
2010-07-01,AMZN|MSFT,2,AMZN,0.6361251,0.05235242540783,0.05135242540783,1.0,0.8102264987882342,-0.18977350121176584,1.0,1,1,1,7
2010-07-09,AMZN|MSFT,2,AMZN,0.5686651,0.0180174142248589,0.0180174142248589,0.0,0.8248246852328588,-0.1751753147671412,1.0,2,0,1,0
2010-07-16,AMZN|JNJ,2,JNJ,0.60882604,-0.0136219925578262,-0.014621992557826199,1.0,0.8127641048238726,-0.18723589517612738,1.0,1,1,0,1
2010-07-23,JNJ,1,JNJ,0.589127,0.0079823628351123,0.0069823628351123,1.0,0.818439118703108,-0.18156088129689196,1.0,1,0,1,0
2010-07-30,JNJ|UNH,2,JNJ,0.62572545,0.06535627852151696,0.06435627852151696,1.0,0.8711108145792702,-0.1288891854207298,1.0,1,1,0,3
2010-08-06,UNH|V,2,V,0.61727834,-0.0198384317612706,-0.0208384317612706,1.0,0.8529582313131552,-0.14704176868684482,1.0,1,1,1,2
2010-08-13,AAPL|V,2,V,0.6276011,-0.0135938240565183,-0.014593824056518299,1.0,0.840510308957812,-0.15948969104218802,1.0,1,1,1,5
2010-08-20,AAPL|UNH,2,UNH,0.6130262,-0.00404189296070535,-0.00504189296070535,1.0,0.8362725459476773,-0.1637274540523227,1.0,1,1,1,3
2010-08-27,UNH|V,2,V,0.60928494,0.0335608596432416,0.032560859643241596,1.0,0.8635022989397759,-0.13649770106022407,1.0,1,1,1,2
2010-09-03,V,1,V,0.5637618,-0.0968272995067973,-0.0978272995067973,1.0,0.7790282009165865,-0.22097179908341347,1.0,1,0,1,0
2010-09-13,V,1,V,0.5828877,0.0737630021637685,0.0737630021637685,0.0,0.8364916597864334,-0.16350834021356664,1.0,1,0,0,0
2010-09-20,V,1,V,0.6035398,0.0382593674565518,0.0382593674565518,0.0,0.8684953015725435,-0.1315046984274565,1.0,1,0,0,0
2010-09-27,MSFT|V,2,MSFT,0.6242928,-0.0149352911220688,-0.0159352911220688,1.0,0.854655576103836,-0.14534442389616398,1.0,1,1,0,4
2010-10-04,JPM|MSFT,2,MSFT,0.626947,0.0242326680972786,0.0232326680972786,1.0,0.8745115054409448,-0.1254884945590552,1.0,1,1,1,1
2010-10-11,JPM|MSFT,2,UNH,0.5841387,0.005755304355918398,0.005755304355918398,0.0,0.8795445853175099,-0.1204554146824901,1.0,2,0,1,0
2010-10-18,JPM|MSFT,2,UNH,0.56927836,-0.02699067891996395,-0.02699067891996395,0.0,0.8558050798194121,-0.14419492018058788,1.0,2,0,0,0
2010-10-25,JPM|MSFT,2,JNJ,0.595404,0.039655371572182845,0.039655371572182845,0.0,0.8897423482530125,-0.11025765174698754,1.0,2,0,0,0
2010-11-01,JPM,1,JPM,0.5983884,0.0825760696626665,0.08157606966266649,1.0,0.9623240320359245,-0.03767596796407546,1.0,1,0,0,0
2010-11-08,,0,JNJ,0.5767103,0.0,-0.001,1.0,0.9613617080038886,-0.03863829199611135,0.0,0,0,0,0
2010-11-15,,0,UNH,0.56240547,0.0,0.0,0.0,0.9613617080038886,-0.03863829199611135,0.0,0,0,0,0
2010-11-22,,0,JNJ,0.5809792,0.0,0.0,0.0,0.9613617080038886,-0.03863829199611135,0.0,0,0,0,0
2010-11-30,,0,V,0.5838821,0.0,0.0,0.0,0.9613617080038886,-0.03863829199611135,0.0,0,0,0,0
2010-12-07,,0,JNJ,0.5781928,0.0,0.0,0.0,0.9613617080038886,-0.03863829199611135,0.0,0,0,0,0
2010-12-14,,0,UNH,0.59463716,0.0,0.0,0.0,0.9613617080038886,-0.03863829199611135,0.0,0,0,0,0
2010-12-21,V,1,V,0.6282916,0.0374726792355428,0.0364726792355428,1.0,0.996425145209248,-0.0035748547907520356,1.0,0,1,0,2
