fold_id,split_name_val,mode,top_k,min_prob,threshold,constraints_ok_val,periods_val,cumulative_return_val,annualized_return_val,sharpe_val,max_drawdown_val,win_rate_val,avg_turnover_val,avg_holdings_val,split_name_test,constraints_ok_test,periods_test,cumulative_return_test,annualized_return_test,sharpe_test,max_drawdown_test,win_rate_test,avg_turnover_test,avg_holdings_test
1,val,topk,2,0.54,0.5,True,26,0.21722986769258346,0.4638328942347054,2.71374674159099,-0.04394368656215586,0.6538461538461539,1.0,1.9230769230769231,test,,26,0.06559230612065137,0.13105634356147733,0.6366358036126689,-0.18063160959973734,0.6538461538461539,0.9230769230769231,1.9615384615384615
1,val,topk,2,0.56,0.5,True,26,0.21722986769258346,0.4638328942347054,2.71374674159099,-0.04394368656215586,0.6538461538461539,1.0,1.9230769230769231,test,,26,0.03970119693686036,0.07839176336248443,0.4354624535066674,-0.19227896211433881,0.6153846153846154,0.9615384615384616,1.7692307692307692
1,val,topk,2,0.58,0.5,True,26,0.163038052628399,0.34014348521939164,2.1426647681994186,-0.04394368656215597,0.5769230769230769,1.0384615384615385,1.8076923076923077,test,,26,-0.11937520934984058,-0.2184094549558102,-1.0476923592511882,-0.24643648878337254,0.5,0.8846153846153846,1.3846153846153846
1,val,topk,2,0.6,0.5,True,26,0.18586504476830856,0.39160031699604936,2.3915432400933714,-0.04394368656215597,0.5769230769230769,0.9615384615384616,1.6538461538461537,test,,26,-0.0503886192666223,-0.09536453062215644,-0.4475275532673915,-0.16820436053982324,0.4230769230769231,0.8846153846153846,1.0769230769230769
1,val,topk,3,0.54,0.5,True,26,0.23057752677108678,0.49510877767028383,2.4725106678310813,-0.0329713431646832,0.6153846153846154,0.7564102564102563,2.8846153846153846,test,,26,0.06932553100080119,0.1387502661061082,0.7107133859132724,-0.15562908036789758,0.6538461538461539,0.9487179487179488,2.8461538461538463
1,val,topk,3,0.56,0.5,True,26,0.23978495044394466,0.5168698843948956,2.534843232960645,-0.0329713431646832,0.6153846153846154,0.7564102564102563,2.8461538461538463,test,,26,0.09642426649958091,0.195355416970455,0.8860413263459622,-0.15059821588443234,0.6153846153846154,0.9871794871794871,2.5
1,val,topk,3,0.58,0.5,True,26,0.18145335492480563,0.3815822814736689,2.014777205921359,-0.0355097226402602,0.5384615384615384,0.8333333333333334,2.6538461538461537,test,,26,-0.08218382716576644,-0.15315608977852024,-0.6777114578643484,-0.22363725838893633,0.5,0.9230769230769229,1.9615384615384615
1,val,topk,3,0.6,0.5,True,26,0.21102862115174847,0.44941122450936977,2.297261462498197,-0.029305845655085094,0.5384615384615384,0.8076923076923076,2.3846153846153846,test,,26,-0.02373063732777292,-0.045488449804065634,-0.16769989189880669,-0.1380751182741643,0.4230769230769231,0.9230769230769231,1.4615384615384615
2,val,topk,2,0.54,0.5,True,26,0.37094323647186545,0.8433465015699195,2.400680488558035,-0.1360708910806835,0.6538461538461539,1.2692307692307692,1.6153846153846154,test,,26,0.24795013781343922,0.5362950701317084,2.585214987228098,-0.09394012125713691,0.6538461538461539,1.0384615384615385,1.8846153846153846
2,val,topk,2,0.56,0.5,True,26,0.09666991603081998,0.19587461997583033,0.8633677909022264,-0.1360708910806835,0.4230769230769231,1.0,1.2307692307692308,test,,26,0.2809159595020183,0.6159377213346007,2.8600947545810307,-0.09394012125713691,0.6923076923076923,0.9615384615384616,1.7307692307692308
2,val,topk,2,0.58,0.5,True,26,0.0959789141400198,0.19441440190126769,0.92198225337818,-0.1360708910806835,0.38461538461538464,0.7692307692307693,1.0,test,,26,0.2962970903490012,0.6537635975436542,2.9799523041969844,-0.09017815192209011,0.6923076923076923,0.9615384615384616,1.6153846153846154
2,val,topk,2,0.6,0.5,True,26,0.020284957903938583,0.03969573172600449,0.2888257507323901,-0.1360708910806836,0.3076923076923077,0.6153846153846154,0.9230769230769231,test,,26,0.20501082212248245,0.4354822816198358,2.313514104879839,-0.07620540175980905,0.6153846153846154,0.8461538461538461,1.4230769230769231
2,val,topk,3,0.54,0.5,True,26,0.49902277215921265,1.191782690548354,3.096699765557865,-0.11762714405056529,0.6538461538461539,1.1282051282051282,2.230769230769231,test,,26,0.23080936675383623,0.49565484692714357,2.5888492377266186,-0.0727309086973843,0.6923076923076923,0.8333333333333333,2.769230769230769
2,val,topk,3,0.56,0.5,True,26,0.15906232500862805,0.3312773579284063,1.3211859390151737,-0.11762714405056529,0.4230769230769231,0.9230769230769229,1.7692307692307692,test,,26,0.24946308020517627,0.5399075377574618,2.803697789251398,-0.07273090869738419,0.6923076923076923,0.782051282051282,2.5
2,val,topk,3,0.58,0.5,True,26,0.1532970375724665,0.31847101940541234,1.3870048785286022,-0.1176271440505654,0.38461538461538464,0.7435897435897434,1.4615384615384615,test,,26,0.25032712136012414,0.5419724601423368,2.764367606659837,-0.07358635831565397,0.6923076923076923,0.7564102564102563,2.3076923076923075
2,val,topk,3,0.6,0.5,True,26,0.07364439611840035,0.1476826544440446,0.769122334757533,-0.11762714405056529,0.3076923076923077,0.5897435897435896,1.3846153846153846,test,,26,0.17796126803384515,0.373677322623134,2.19666619763851,-0.05937005109736071,0.6153846153846154,0.6923076923076922,2.0
3,val,topk,2,0.54,0.5,True,26,0.1800045062142146,0.3782998896850105,2.1398866263901692,-0.05190779029920434,0.5769230769230769,1.3461538461538463,2.0,test,,26,0.11835599569116573,0.2421401449048799,1.6083724392554954,-0.08516686484775704,0.6153846153846154,1.1153846153846154,1.9615384615384615
3,val,topk,2,0.56,0.5,True,26,0.18321858306008965,0.38558654421097094,2.177499974251357,-0.05190779029920434,0.6153846153846154,1.3461538461538463,1.9615384615384615,test,,26,0.14742251149356478,0.3054836835137933,2.033255862758788,-0.08516686484775704,0.6153846153846154,1.0769230769230769,1.8461538461538463
3,val,topk,2,0.58,0.5,True,26,0.15104753475784038,0.31349049052912403,1.9146123323444397,-0.055873194098694734,0.6153846153846154,1.3461538461538463,1.9230769230769231,test,,26,0.08765534588582224,0.17689299843094597,1.2513857776521273,-0.08516686484775704,0.46153846153846156,1.0,1.5384615384615385
3,val,topk,2,0.6,0.5,True,26,0.2303143391918243,0.4944889901842624,3.207084226697419,-0.03144249323730308,0.5384615384615384,1.1153846153846154,1.5,test,,26,0.08183053114689831,0.16470612928317396,1.2254394402820392,-0.08516686484775704,0.38461538461538464,0.8076923076923077,1.0769230769230769
3,val,topk,3,0.54,0.5,True,26,0.11318415367530088,0.2310292394797293,1.3608174238994535,-0.08382530014405909,0.6538461538461539,0.9871794871794872,3.0,test,,26,0.1504543307746662,0.3121786232959267,2.4427744307126544,-0.05250463840395925,0.7692307692307693,0.9615384615384616,2.923076923076923
3,val,topk,3,0.56,0.5,True,26,0.12181937083291827,0.24960768979510184,1.4624841022276371,-0.08382530014405909,0.6538461538461539,1.012820512820513,2.923076923076923,test,,26,0.1740290039921033,0.36480223342709417,2.8533237159748515,-0.05250463840395925,0.7692307692307693,0.9871794871794872,2.6538461538461537
3,val,topk,3,0.58,0.5,True,26,0.10125778020624199,0.20559154994012951,1.3263595736865295,-0.07329875986578749,0.6538461538461539,1.1153846153846154,2.730769230769231,test,,26,0.1252927188401307,0.2571184984080803,1.9714123253961269,-0.05250463840395925,0.5769230769230769,0.9230769230769231,2.076923076923077
3,val,topk,3,0.6,0.5,True,26,0.21680888453649416,0.4628516653498811,3.531663777196763,-0.03384129840344907,0.5769230769230769,0.9871794871794872,2.1538461538461537,test,,26,0.14921198238102917,0.3094332333188605,2.1638784813447267,-0.05250463840395936,0.5,0.7692307692307693,1.3846153846153846
4,val,topk,2,0.54,0.5,True,26,0.15208278826812305,0.3157814679868345,2.350148256744772,-0.060602732915086,0.6923076923076923,1.3076923076923077,1.8846153846153846,test,,26,0.20802812287303407,0.442458059133668,4.176999480866949,-0.02508422412811251,0.6923076923076923,1.2692307692307692,1.9230769230769231
4,val,topk,2,0.56,0.5,True,26,0.17313520541430494,0.36278882179565186,2.5226356255098534,-0.060602732915086,0.6153846153846154,1.3076923076923077,1.6538461538461537,test,,26,0.2181912908876178,0.46607497685143917,4.105481138772546,-0.02508422412811251,0.6538461538461539,1.2307692307692308,1.6923076923076923
