metric,mean,std,median,min,max
best_val_auc,0.5418315458911184,0.03981007350822857,0.5360982372747078,0.48233689594124973,0.635103611984346
val_auc_thr_0_5,0.527955105028183,0.04319232895918822,0.5137719327674707,0.4616599549518804,0.635103611984346
val_f1_thr_0_5,0.691903215333884,0.054168113659874534,0.6979051819184123,0.5793382849426064,0.7609903991915109
test_auc_thr_0_5,0.5223051771271228,0.042110844425160575,0.5323049621186268,0.4330926216640502,0.5799065282417473
test_f1_thr_0_5,0.6794798644782915,0.06780778869765694,0.7019587083112758,0.4775876120619397,0.7720515361744301
selected_val_cumulative_return,0.2977285770322767,0.18711524532074636,0.23119441073647606,0.10550916203599203,0.8223421078835769
selected_val_sharpe,2.705031128332299,1.2812322858376524,2.859719672535368,0.905456874816279,6.5669893351158475
selected_val_max_drawdown,-0.07593634388570074,0.06458443730839318,-0.050505217906520405,-0.2642476506264091,-0.001000000000000112
selected_val_avg_turnover,0.951159951159951,0.1905741975716105,0.9743589743589745,0.38461538461538464,1.2692307692307692
selected_test_cumulative_return,0.13409856759682384,0.155607372030323,0.12381782500811211,-0.16168543260495816,0.4930313973478577
selected_test_sharpe,1.3911180756813462,1.3175246173796713,1.4892096451948793,-0.9457251670430066,4.550866825723544
selected_test_max_drawdown,-0.11032067269695058,0.06154005468705195,-0.07794917566432435,-0.205377590127663,-0.03141021727204718
selected_test_avg_turnover,0.9097191697191696,0.17983888444218335,0.9230769230769231,0.5897435897435898,1.205128205128205
current_fixed_val_cumulative_return,0.1397367401693359,0.1113287480667526,0.14425204252097878,-0.02374793225450733,0.4230063973725309
current_fixed_val_sharpe,1.543645678010203,0.9672675948595723,1.4604461213880362,-0.09195718250279536,3.207084226697419
current_fixed_val_max_drawdown,-0.08700523876636906,0.0691403169592794,-0.07731596211224723,-0.2643766193127177,-0.0010000000000000009
current_fixed_val_avg_turnover,0.8058608058608059,0.32281953815166486,0.9230769230769231,0.07692307692307693,1.1923076923076923
current_fixed_test_cumulative_return,0.08910300714670434,0.1315935724820837,0.07063711450959631,-0.08607321536682488,0.44012983801675043
current_fixed_test_sharpe,1.0482380047792665,1.340672285988823,0.8304361825719123,-0.8984617924481386,4.871255156677934
current_fixed_test_max_drawdown,-0.0909422194902736,0.06751706123341039,-0.08516686484775704,-0.21045443555984977,0.0
current_fixed_test_avg_turnover,0.6868131868131868,0.3487691192794676,0.8076923076923077,0.0,1.1538461538461537
