test_year,n_folds,selected_test_cumret_mean,selected_test_cumret_std,selected_test_sharpe_mean,selected_test_sharpe_std,selected_test_mdd_mean,selected_test_turnover_mean,current_fixed_test_cumret_mean,current_fixed_test_sharpe_mean,current_fixed_test_mdd_mean,selected_matches_current_fixed_rate
2015,1,0.06559230612065137,0.0,0.6366358036126689,0.0,-0.18063160959973734,0.9230769230769231,-0.0503886192666223,-0.4475275532673915,-0.16820436053982324,0.0
2016,2,0.1900106745674327,0.05769806381709709,2.3763638595356724,0.300499703643612,-0.06261777355067183,0.8012820512820513,0.14342067663469038,1.7694767725809393,-0.08068613330378305,0.0
2017,2,0.2123001502147216,0.1251329043374939,2.6737883508877376,0.47870849545641525,-0.06875221836981976,0.8012820512820513,0.0848101175641689,1.8925062602232918,-0.039139676856404904,0.0
2018,2,0.06504523282879959,0.011481730813876056,0.6459393138865481,0.020606592005149558,-0.14126889669115866,0.7948717948717949,0.03396098853799212,0.43747729216270254,-0.17071774028387526,0.5
2019,2,0.1088546548138753,0.22974884953561306,0.6234768556566046,1.2354049547526111,-0.17639740080424626,1.0192307692307692,0.08120577074563656,0.5024129889300142,-0.17639740080424626,0.5
2020,2,0.29238577160975243,0.18468997023857855,2.305818459740582,1.154859260683948,-0.056080417962490636,0.9423076923076923,0.2243463296044017,1.7310806762456046,-0.07141952747440283,0.0
2021,2,0.03419829640706029,0.03747646743124726,0.5505912444262169,0.5250154587337968,-0.1263981842445518,0.7564102564102564,0.04881991655811324,0.43208775122480536,-0.12536726015142258,0.0
2022,2,0.039879226576070126,0.2850554747089208,0.3961204358590446,1.8976562502347833,-0.1211309843622752,0.8846153846153846,0.10457512574042938,0.8755508603090115,-0.08887438637716566,0.0
2023,2,0.1149046047448532,0.04330029052917062,1.3946210152748737,0.38393200261028,-0.05369833896196369,0.9294871794871795,0.035318557254798155,1.2306122925955922,-0.0005000000000000004,0.0
2024,2,-0.007475616338226465,0.04146506030827627,0.01675068923722467,0.3858772400250365,-0.19217543199814702,1.0384615384615383,-0.01574651697489904,-0.0765696457949353,-0.11074260163451666,0.0
2025,2,0.325135811281986,0.23744021487693504,3.3049516683432962,1.7619901131333553,-0.06953161157278764,1.1225641025641027,0.22006491900837521,2.435627578338967,-0.006946397492143874,0.0
