epoch,lr,train_loss,val_loss,val_auc,val_f1,val_fixed_cumret,val_fixed_sharpe,val_fixed_mdd,val_fixed_turnover,val_fixed_score
1,0.0003,0.6945865149057359,0.704048579395888,0.48671740498476634,0.680135593220339,0.08849099389135295,0.2949338142024038,-0.28471919768224474,0.9801980198019802,0.5156623201704822
2,0.0003,0.6819101125349519,0.711150823691172,0.4854209142234422,0.6798042946452841,-0.058896209706936764,-0.003782496932850518,-0.30147180195844625,0.9603960396039604,-0.42383222509550733
3,0.0003,0.6812375941995765,0.7012834954642488,0.4844704101445086,0.6622159090909091,0.13016499369345746,0.38135636524634803,-0.25158534386961307,0.9900990099009901,0.8697718347856235
4,0.0003,0.6791600046755191,0.706551237829669,0.482660295438092,0.6528497409326425,0.014554066867394022,0.1434087078660591,-0.32044544085146665,1.0396039603960396,-0.05135136714689961
5,0.0003,0.6776560254903197,0.703934082799329,0.48097057258557574,0.6451801933782596,-0.00978961968397718,0.07954538592868131,-0.24870465136883513,0.9207920792079208,0.0013927206082201271
6,0.00015,0.6760645076419263,0.7098301551775066,0.4824740318128679,0.631876300921796,0.04264312721958774,0.2059317947842619,-0.26192483291566404,0.9801980198019802,0.3143456422904102
7,0.00015,0.6745769088864555,0.7103168211773246,0.47925239056972047,0.6214860963379426,0.2641789613398182,0.6155118809835642,-0.17792565639524138,1.0297029702970297,1.6049262391022106
8,0.00015,0.6741249174577961,0.7135777416819346,0.47911481129975875,0.6062881276396059,0.21324906857552595,0.5403134050901679,-0.1788707456995935,1.0594059405940595,1.3482140562422789
9,0.00015,0.6719644625208254,0.7148988100345025,0.47847048305112927,0.5593882752761258,-0.00645848204914623,0.0864684724999596,-0.20351159475199865,0.9702970297029703,0.014475426446181217
10,7.5e-05,0.6720501421338058,0.7176026020697253,0.47836647919858993,0.5798855273916599,0.05928547287119024,0.23777848367519808,-0.25396963863480937,1.0198019801980198,0.42924870015864547
11,7.5e-05,0.67116058712853,0.7179431667822802,0.47830316555430774,0.5591288072145653,-0.07378291824880767,-0.058353209025345694,-0.26068904963754924,0.9702970297029703,-0.4418839579164
