selected_mode,selected_top_k,selected_min_prob,selected_threshold,count,share
topk,3,0.58,0.5,9,0.45
topk,3,0.56,0.5,6,0.3
topk,4,0.58,0.5,3,0.15
topk,4,0.56,0.5,2,0.1
