test_year,n_folds,selected_test_cumret_mean,selected_test_cumret_std,selected_test_sharpe_mean,selected_test_sharpe_std,selected_test_mdd_mean,selected_test_turnover_mean,current_fixed_test_cumret_mean,current_fixed_test_sharpe_mean,current_fixed_test_mdd_mean,selected_matches_current_fixed_rate
2015,1,0.03054166087774246,0.0,0.4429390105029684,0.0,-0.0748595572607631,0.5641025641025641,0.03054166087774246,0.4429390105029684,-0.0748595572607631,1.0
2016,2,0.06600440945779917,0.04505262275840562,1.8769538908071253,0.0735606644553919,-0.01433788327855784,0.21794871794871795,0.05539246748711696,0.8954728014781641,-0.05683954359539212,0.0
2017,2,-0.013225327000255915,0.07475871225665995,-0.49010625380278533,1.6373945068291562,-0.06056682698887306,0.3012820512820513,0.06651069609889282,0.9038844052617638,-0.04874916817939501,0.0
2018,2,0.031465193581527495,0.3643996172416384,1.3027980159592698,3.0063407505510664,-0.18503391632785032,0.7115384615384616,-0.019031595298811266,0.9230295482397151,-0.19990620969134848,0.0
2019,2,-0.06394958476868079,0.15030487515576232,-0.193204507794612,1.1433704710003354,-0.13806281310370705,0.5256410256410257,0.06014778546251831,0.3538090689534918,-0.14069573154047937,0.0
2020,2,-0.001243169966044455,0.04028235057422857,-0.5528653683708461,1.257197415305385,-0.060995507692605755,0.5192307692307693,-0.020387649114407436,-0.7164332213166855,-0.060995507692605755,0.0
2021,2,0.015593701626393341,0.11950601655009929,0.5737302722569799,1.4488993673463495,-0.14630290088658898,0.7403846153846154,0.015593701626393341,0.5737302722569799,-0.14630290088658898,0.5
2022,2,0.038342573767918275,0.05422458783888089,1.1391677350724918,1.6110264607573588,-0.000500000000000056,0.15384615384615385,-0.027477529914811227,-0.09002113849412896,-0.130078868680772,0.0
2023,2,0.0006947804275760916,0.09334251434765956,0.14501663433434997,1.7732028694171083,-0.055356170102554225,0.25,0.004704981657724094,0.3334670912808235,-0.05276260484362605,0.0
2024,2,-0.035717191285360494,0.05051173632563093,-0.8982602914928726,1.27033188677043,-0.035717191285360494,0.07692307692307693,-0.035717191285360494,-0.8982602914928726,-0.035717191285360494,0.0
2025,1,-0.20570302373431415,0.0,-0.8715842638934355,0.0,-0.27689294180715773,0.4102564102564103,0.040165386463354436,0.4078786918586867,-0.12010699429176597,0.0
