fold_id,strategy_type,cost_bps,periods,cumulative_return,annualized_return,sharpe,max_drawdown,win_rate,avg_turnover,avg_holdings
1,selected,5.0,26,0.0381023682213526,0.07517948147841924,0.5310804261768907,-0.07235476851096989,0.3076923076923077,0.5641025641025641,0.7692307692307693
1,selected,10.0,26,0.03054166087774246,0.06005176294444525,0.4429390105029684,-0.0748595572607631,0.3076923076923077,0.5641025641025641,0.7692307692307693
1,selected,20.0,26,0.0155732936691797,0.03040876017098615,0.2657399772384627,-0.07985295109802237,0.3076923076923077,0.5641025641025641,0.7692307692307693
1,current_fixed,5.0,26,0.0381023682213526,0.07517948147841924,0.5310804261768907,-0.07235476851096989,0.3076923076923077,0.5641025641025641,0.7692307692307693
1,current_fixed,10.0,26,0.03054166087774246,0.06005176294444525,0.4429390105029684,-0.0748595572607631,0.3076923076923077,0.5641025641025641,0.7692307692307693
1,current_fixed,20.0,26,0.0155732936691797,0.03040876017098615,0.2657399772384627,-0.07985295109802237,0.3076923076923077,0.5641025641025641,0.7692307692307693
2,selected,5.0,26,0.1018946437142163,0.20694341265795702,2.008607810015269,-0.02668936779162845,0.19230769230769232,0.28205128205128205,0.7307692307692307
2,selected,10.0,26,0.09786142452050717,0.19839453209092062,1.928969135472121,-0.027675766557115677,0.19230769230769232,0.28205128205128205,0.7307692307692307
2,selected,20.0,26,0.08983357682946513,0.18146614056528776,1.7697341006796328,-0.029647064088089592,0.19230769230769232,0.28205128205128205,0.7307692307692307
2,current_fixed,5.0,26,0.1613894908386082,0.3364636291514358,2.3270793234585674,-0.028809195806994814,0.34615384615384615,0.6923076923076923,1.5
2,current_fixed,10.0,26,0.15105317259900541,0.313502961627262,2.1946311077042018,-0.02979453412825217,0.3076923076923077,0.6923076923076923,1.5
2,current_fixed,20.0,26,0.13064020040800073,0.2687245479592948,1.9273980024212947,-0.03277770217528575,0.3076923076923077,0.6923076923076923,1.5
3,selected,5.0,26,0.036200026479857206,0.07136344165216246,1.8896781130455034,-0.000500000000000056,0.07692307692307693,0.15384615384615385,0.15384615384615385
3,selected,10.0,26,0.03414739439509118,0.06725329195135021,1.8249386461421293,-0.0010000000000000009,0.07692307692307693,0.15384615384615385,0.15384615384615385
3,selected,20.0,26,0.0300512801736319,0.05907417666265369,1.681807089393602,-0.0020000000000000018,0.07692307692307693,0.15384615384615385,0.15384615384615385
3,current_fixed,5.0,26,-0.030192697642074995,-0.05769768791773011,-0.2786598611429021,-0.08248270807804003,0.2692307692307692,0.8076923076923077,0.9230769230769231
3,current_fixed,10.0,26,-0.0402682376247715,-0.07658227677467011,-0.40368550474787346,-0.08388455306253206,0.2692307692307692,0.8076923076923077,0.9230769230769231
3,current_fixed,20.0,26,-0.060124736107527776,-0.11325722872803146,-0.6576552142198135,-0.09330550671088,0.23076923076923078,0.8076923076923077,0.9230769230769231
4,selected,5.0,26,-0.06324965877774136,-0.11896341279963818,-1.5868862524100111,-0.06674828079924988,0.038461538461538464,0.23076923076923078,0.11538461538461539
4,selected,10.0,26,-0.06608771938971403,-0.12413032472030439,-1.6479190130592845,-0.06911203606200844,0.038461538461538464,0.23076923076923078,0.11538461538461539
4,selected,20.0,26,-0.07174235009373087,-0.13438115541784657,-1.7654261556954527,-0.07382517964251045,0.038461538461538464,0.23076923076923078,0.11538461538461539
4,current_fixed,5.0,26,0.0813392102987478,0.1636809803886825,0.8908206714718299,-0.055470288981150584,0.15384615384615385,0.34615384615384615,0.23076923076923078
