mode,top_k,min_prob,threshold,n_folds,val_constraints_rate,val_positive_rate,test_positive_rate,val_cumret_mean,val_cumret_std,val_sharpe_mean,val_sharpe_std,val_mdd_mean,val_turnover_mean,val_worst_cumret,test_cumret_mean,test_cumret_std,test_sharpe_mean,test_sharpe_std,test_mdd_mean,test_turnover_mean,deployable_score
topk,4,0.58,0.5,20,1.0,0.8,0.45,0.1229050346495296,0.14511300604052432,1.3970138004911066,0.9694796021152687,-0.02120076047663803,0.36506410256410254,-0.004765450184499254,-0.007638849120658031,0.11857461745480506,0.3867725981406194,1.4938766592609678,-0.0812280888388214,0.3407051282051282,3.565386201163078
topk,3,0.58,0.5,20,1.0,0.75,0.45,0.12134172799541743,0.1473546336408323,1.4091491265367917,1.0336789494240808,-0.024717550876139787,0.36153846153846153,-0.005042542651338522,-0.003670386784077945,0.12247834509407848,0.4179432520475951,1.5153944075596029,-0.08063951140291857,0.3371794871794872,3.544611343005874
topk,4,0.56,0.5,20,1.0,0.6,0.5,0.09826559378247082,0.1532302000088931,1.0408575405356806,1.4880373405151806,-0.06414301258149804,0.5798076923076922,-0.07670549005360872,0.013508919038980355,0.1372779057707518,0.2704087387348079,1.416176679782783,-0.09695310021718329,0.5455128205128205,2.4659451896032984
topk,3,0.56,0.5,20,0.95,0.6,0.6,0.09789940582843104,0.16829211958282117,1.028949591753294,1.6014821836413358,-0.06938110575832071,0.5756410256410256,-0.11347144749236937,0.014156509285772922,0.13836267547552888,0.2732808596080619,1.4025910810231688,-0.09939672537592777,0.5378205128205128,2.3443637881231822
