strategy_type,cost_bps,cumret_mean,cumret_std,sharpe_mean,sharpe_std,mdd_mean,turnover_mean,positive_rate
current_fixed,5.0,0.0208114290054425,0.13935747068291868,0.35046159185577436,1.448588982249853,-0.09517436860506136,0.5455128205128205,0.6
current_fixed,10.0,0.013508919038980355,0.1372779057707518,0.2704087387348079,1.416176679782783,-0.09695310021718329,0.5455128205128205,0.5
current_fixed,20.0,-0.0008944582487762475,0.13370205116284356,0.109722123227378,1.3549060328603264,-0.10098826284656812,0.5455128205128205,0.5
selected,5.0,0.0002790666307973699,0.1186274102475521,0.3321898191709459,1.4780738106277964,-0.08577871558629825,0.3983974358974359,0.5
selected,10.0,-0.004961529558741312,0.11721879615418225,0.26889075002738666,1.4526077830532562,-0.08727494592000581,0.3983974358974359,0.5
selected,20.0,-0.015331730662256909,0.11478419246327204,0.140957777663554,1.3999960630987978,-0.09029349033808559,0.3983974358974359,0.5
