metric,mean,std,median,min,max
best_val_auc,0.5309321994979724,0.03978970488627513,0.5196795128024244,0.4774506237006237,0.6178637466395647
val_auc_thr_0_5,0.5130709394259263,0.04770236539851317,0.5134011616167644,0.42754810593362386,0.6060664874434464
val_f1_thr_0_5,0.5019847221652946,0.16045866047371954,0.5322477748768348,0.0,0.6984978540772532
test_auc_thr_0_5,0.5024155959908863,0.03418301770275782,0.5007921414328292,0.45052214865879464,0.5919597720415689
test_f1_thr_0_5,0.48194959072698207,0.15338799452764013,0.5215511929701497,0.15018773466833543,0.7028985507246377
selected_val_cumulative_return,0.1657252215332176,0.1628619381421002,0.11965288210588831,0.0,0.5660217647706489
selected_val_sharpe,1.9066796160753896,1.0266390742321332,1.974510349545473,0.0,3.8794612708717455
selected_val_max_drawdown,-0.017642508552013388,0.022811823442546952,-0.007827989248156642,-0.0821990706669824,0.0
selected_val_avg_turnover,0.41666666666666663,0.33859263195498096,0.358974358974359,0.0,1.1025641025641024
selected_test_cumulative_return,-0.004961529558741312,0.11721879615418225,0.013620376643563192,-0.2262042468318174,0.2891346339948724
selected_test_sharpe,0.26889075002738666,1.4526077830532562,0.16805372464089596,-1.7965205829857451,3.4286019472313836
selected_test_max_drawdown,-0.08727494592000581,0.1008892485654789,-0.054882074806540226,-0.3361503783514965,0.0
selected_test_avg_turnover,0.3983974358974359,0.2794342070538902,0.33974358974358976,0.0,0.9615384615384616
current_fixed_val_cumulative_return,0.09826559378247082,0.1532302000088931,0.06956707085108949,-0.07670549005360872,0.44471437744881603
current_fixed_val_sharpe,1.0408575405356806,1.4880373405151806,1.196748742026139,-1.6666824588658398,3.4115350803034747
current_fixed_val_max_drawdown,-0.06414301258149804,0.053484695060069684,-0.05629787408339165,-0.1772866609489845,0.0
current_fixed_val_avg_turnover,0.5798076923076922,0.30939890952299953,0.5641025641025641,0.0,1.1282051282051282
current_fixed_test_cumulative_return,0.013508919038980355,0.1372779057707518,0.01527083043887123,-0.32807973021280734,0.2900165396151848
current_fixed_test_sharpe,0.2704087387348079,1.416176679782783,0.20842521762439992,-1.7965205829857451,3.3854600541529782
current_fixed_test_max_drawdown,-0.09695310021718329,0.10025998477876366,-0.06393833632896712,-0.36187530579087446,0.0
current_fixed_test_avg_turnover,0.5455128205128205,0.33878355944288985,0.6153846153846154,0.0,1.3653846153846154
