epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0003,0.6919837936285294,0.7104349094723899,0.6378316032295271,0.49881804435483873,topk,2,0.54,0.5,True,2.429963968401097,0.3826084667517329,-0.13858901258116696,1.2692307692307692,5.5594647660097545
2,0.0003,0.6831998295058497,0.7043837043974135,0.6172248803827752,0.5155015120967742,topk,2,0.58,0.5,True,0.9403391644551846,0.12467221773849113,-0.15167843595110053,1.1923076923076923,2.0800519885653914
3,0.0003,0.6800088977886712,0.7192204579474434,0.6591154261057174,0.5075957661290322,topk,3,0.54,0.5,True,1.2474813959195414,0.15369802967643342,-0.10952445158802937,0.9871794871794872,2.781180869647285
4,0.00015,0.6777142493774304,0.7149123638395279,0.6472889882615985,0.5170287298387096,topk,3,0.54,0.5,True,0.9717233965152886,0.11601897595901933,-0.11202747808312985,0.9102564102564104,2.1682034658698317
5,0.00015,0.6775746402958265,0.711000312888433,0.6459977452085682,0.5172958669354839,topk,3,0.54,0.5,True,1.3820862347028753,0.16752979782194588,-0.10833432655523556,0.9358974358974359,3.088171416398898
6,7.5e-05,0.6772372188218775,0.7105483195138356,0.6462237365133447,0.5202797379032258,topk,3,0.54,0.5,True,1.234499717717501,0.1404454268707067,-0.10059193390919197,0.9358974358974359,2.7395756082676064
7,7.5e-05,0.6762234490596999,0.7168914210228693,0.6461710452766909,0.5178175403225806,topk,2,0.54,0.5,True,1.179347108466922,0.15356203484140507,-0.09304053797381995,1.1153846153846154,2.627964979389607
8,3.75e-05,0.6758956009540182,0.7128230318190559,0.6458923512747875,0.5211466733870967,topk,2,0.54,0.5,True,1.131956569880624,0.14683874858591284,-0.10202935322095386,1.0769230769230769,2.5263388437413865
