epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0003,0.6911587927303401,0.6893987827830844,0.7108371854134566,0.4843571165794637,topk,3,0.6,0.5,True,2.612017647482901,0.17712633820141965,-0.036602161596153926,0.9102564102564104,5.5628387889750455
2,0.0003,0.6841426209026492,0.6880558942991589,0.6840934371523916,0.5126461330935251,topk,3,0.58,0.5,True,2.557412277837789,0.19402361949226643,-0.05991860051134856,1.1923076923076923,5.452187174087339
3,0.0003,0.6831888612149076,0.6885177653933329,0.6989984185556141,0.5096749305101373,topk,2,0.6,0.5,True,2.1667298349980504,0.14347784601168412,-0.03410735157821154,1.0,4.597834094647003
4,0.00015,0.6812632117342552,0.6899710534110902,0.6966292134831461,0.4956696574558535,topk,3,0.56,0.5,True,2.5196717886884428,0.17121338218553261,-0.03495083418399092,0.8333333333333333,5.380687756111914
5,0.00015,0.6803693433728015,0.6908555914485265,0.6952743074416079,0.490498794146501,topk,3,0.6,0.5,True,2.387385802197523,0.11034002794689246,-0.03088261284595062,1.0897435897435899,4.954614820363918
6,7.5e-05,0.6796386468435103,0.6913776675860087,0.6839492553778268,0.4903659458796599,topk,2,0.54,0.5,True,2.9099227338789166,0.1972711755211829,-0.03410735157821154,1.0,6.186979305270114
7,7.5e-05,0.6791577424113878,0.6918339651728433,0.6693046919163369,0.49121668574231525,topk,2,0.54,0.5,True,3.133407669244647,0.21932818542731636,-0.03410735157821154,1.0,6.6782758807795055
8,7.5e-05,0.678488801224886,0.6931067264269268,0.6908292147171884,0.4842753637998692,topk,3,0.6,0.5,True,1.8156848514285784,0.10756275095356438,-0.03508343569756711,0.8846153846153846,3.834871738021945
9,7.5e-05,0.6780452775551724,0.6933786414918446,0.6547756041426928,0.48931337884238063,topk,2,0.6,0.5,True,1.9942824347107573,0.1382678979786851,-0.03410735157821154,0.9615384615384616,4.24319824085871
10,3.75e-05,0.6781174537868,0.6939747838746934,0.6693136698808848,0.48801555346631786,topk,3,0.6,0.5,True,1.6530596397342143,0.10094785641785475,-0.03508343569756711,0.935897435897436,3.489634265286102
11,3.75e-05,0.6773363628744064,0.6945344041264246,0.6640045636052482,0.48715970405493786,topk,3,0.6,0.5,True,1.6377675549672237,0.1066033250581877,-0.03508343569756722,0.8461538461538461,3.48360860914148
