date,fng_value,sentiment_score
2018-01-02,10.0,1.0
2018-01-03,10.0,1.0
2018-01-04,10.0,1.0
2018-01-05,10.0,1.0
2018-01-08,10.0,1.0
2018-01-09,10.079999923706055,0.9946666717529297
2018-01-10,10.0,1.0
2018-01-11,10.0,1.0
2018-01-12,10.15999984741211,0.9893333435058593
2018-01-16,11.65999984741211,0.8893333435058594
2018-01-17,11.90999984741211,0.8726666768391927
2018-01-18,12.220000267028809,0.8519999821980795
2018-01-19,11.270000457763672,0.9153333028157552
2018-01-22,11.029999732971191,0.931333351135254
2018-01-23,11.100000381469727,0.9266666412353516
2018-01-24,11.470000267028809,0.9019999821980794
2018-01-25,11.579999923706055,0.8946666717529297
2018-01-26,11.079999923706055,0.928000005086263
2018-01-29,13.84000015258789,0.743999989827474
2018-01-30,14.789999961853027,0.6806666692097982
2018-01-31,13.539999961853027,0.7640000025431315
2018-02-01,13.470000267028809,0.7686666488647461
2018-02-02,17.309999465942383,0.5126667022705078
2018-02-05,37.31999969482422,-0.8213333129882812
2018-02-06,29.979999542236328,-0.33199996948242183
2018-02-07,27.729999542236328,-0.18199996948242192
2018-02-08,33.459999084472656,-0.5639999389648438
2018-02-09,29.059999465942383,-0.2706666310628256
2018-02-12,25.610000610351562,-0.040666707356770804
2018-02-13,24.969999313354492,0.002000045776367143
2018-02-14,19.260000228881836,0.3826666514078776
2018-02-15,19.1299991607666,0.3913333892822266
2018-02-16,19.459999084472656,0.36933339436848955
2018-02-20,20.600000381469727,0.2933333079020183
2018-02-21,20.020000457763672,0.33199996948242183
2018-02-22,18.719999313354492,0.4186667124430339
2018-02-23,16.489999771118164,0.5673333485921224
2018-02-26,15.800000190734863,0.6133333206176758
2018-02-27,18.59000015258789,0.4273333231608073
2018-02-28,19.850000381469727,0.3433333079020182
2018-03-01,22.469999313354492,0.16866671244303388
2018-03-02,19.59000015258789,0.36066665649414065
2018-03-05,18.729999542236328,0.41800003051757817
2018-03-06,18.360000610351562,0.4426666259765625
2018-03-07,17.760000228881836,0.48266665140787757
2018-03-08,16.540000915527344,0.5639999389648438
2018-03-09,14.640000343322754,0.6906666437784831
2018-03-12,15.779999732971191,0.6146666844685873
2018-03-13,16.350000381469727,0.5766666412353516
2018-03-14,17.229999542236328,0.5180000305175781
2018-03-15,16.59000015258789,0.5606666564941406
2018-03-16,15.800000190734863,0.6133333206176758
2018-03-19,19.020000457763672,0.3986666361490886
2018-03-20,18.200000762939453,0.45333328247070315
2018-03-21,17.860000610351562,0.4759999593098958
2018-03-22,23.34000015258789,0.11066665649414065
2018-03-23,24.8700008392334,0.008666610717773415
2018-03-26,21.030000686645508,0.26466662089029946
2018-03-27,22.5,0.16666666666666663
2018-03-28,22.8700008392334,0.14199994405110672
2018-03-29,19.969999313354492,0.3353333791097005
