date,start_time,open,high,low,close,volume,fng_value,sentiment_score
2018-01-02,2018-01-02 00:00:00+00:00,51.99512163664759,52.11989512438821,51.99512163664759,52.10206985473633,1100,10.0,1.0
2018-01-03,2018-01-03 00:00:00+00:00,52.40063542059743,52.54769134521485,52.40063542059743,52.54769134521485,1800,10.0,1.0
2018-01-04,2018-01-04 00:00:00+00:00,52.80167692142228,52.82395935058594,52.77494072628298,52.82395935058594,1000,10.0,1.0
2018-01-05,2018-01-05 00:00:00+00:00,53.05569519360485,53.06460952758789,52.91933512213581,53.06460952758789,7300,10.0,1.0
2018-01-08,2018-01-08 00:00:00+00:00,53.20721319353597,53.260685603090295,53.10560949570211,53.22771072387695,9000,10.0,1.0
2018-01-09,2018-01-09 00:00:00+00:00,53.18047103267329,53.48349380493164,53.18047103267329,53.48349380493164,1500,10.079999923706056,0.9946666717529296
2018-01-10,2018-01-10 00:00:00+00:00,53.11808274492093,53.11808274492093,53.08243560791016,53.08243560791016,600,10.0,1.0
2018-01-11,2018-01-11 00:00:00+00:00,53.38724136352539,53.38724136352539,53.38724136352539,53.38724136352539,400,10.0,1.0
2018-01-12,2018-01-12 00:00:00+00:00,53.82216850269058,53.95585632324219,53.82216850269058,53.95585632324219,600,10.15999984741211,0.9893333435058592
2018-01-16,2018-01-16 00:00:00+00:00,54.0538912522115,54.0538912522115,53.8988151550293,53.8988151550293,500,11.65999984741211,0.8893333435058594
2018-01-17,2018-01-17 00:00:00+00:00,54.283835353231936,54.39702224731445,54.283835353231936,54.39702224731445,10400,11.90999984741211,0.8726666768391927
2018-01-18,2018-01-18 00:00:00+00:00,54.17866942842614,54.37474060058594,54.17866942842614,54.37474060058594,1500,12.220000267028809,0.8519999821980795
2018-01-19,2018-01-19 00:00:00+00:00,54.38364767666122,54.39255861064255,54.37651824951172,54.37651824951172,900,11.270000457763672,0.9153333028157552
2018-01-22,2018-01-22 00:00:00+00:00,54.695590018660106,54.84710311889648,54.6599428772716,54.84710311889648,2300,11.029999732971191,0.931333351135254
2018-01-23,2018-01-23 00:00:00+00:00,55.1412050043379,55.15011933848833,55.03247528638789,55.05208206176758,7400,11.100000381469728,0.9266666412353516
2018-01-24,2018-01-24 00:00:00+00:00,55.035144744594014,55.13229126291792,54.95404198703061,55.07881546020508,1400,11.470000267028809,0.9019999821980794
2018-01-25,2018-01-25 00:00:00+00:00,55.38183820926686,55.38183820926686,55.07881546020508,55.07881546020508,700,11.579999923706056,0.8946666717529297
2018-01-26,2018-01-26 00:00:00+00:00,55.51553531761856,55.76508230577844,55.51553531761856,55.73834609985352,3100,11.079999923706056,0.928000005086263
2018-01-29,2018-01-29 00:00:00+00:00,55.586827947232976,55.62247848510742,55.57078758506517,55.62247848510742,1300,13.84000015258789,0.743999989827474
2018-01-30,2018-01-30 00:00:00+00:00,55.16794836754466,55.16794836754466,54.873836517333984,54.873836517333984,8600,14.789999961853027,0.6806666692097982
2018-01-31,2018-01-31 00:00:00+00:00,54.94513702392578,54.94513702392578,54.91750666625053,54.94513702392578,1500,13.539999961853027,0.7640000025431315
2018-02-01,2018-02-01 00:00:00+00:00,54.74460566447922,55.00306697437051,54.74460566447922,54.86492538452149,1800,13.470000267028809,0.7686666488647461
2018-02-02,2018-02-02 00:00:00+00:00,54.33017016989478,54.33017016989478,53.675106048583984,53.675106048583984,600,17.309999465942383,0.5126667022705078
2018-02-05,2018-02-05 00:00:00+00:00,53.38545591925504,53.59935233078431,51.69209289550781,51.69209289550781,1700,37.31999969482422,-0.8213333129882812
2018-02-06,2018-02-06 00:00:00+00:00,51.92380309423992,51.92380309423992,51.46659851074219,51.46659851074219,489500,29.979999542236328,-0.3319999694824218
2018-02-07,2018-02-07 00:00:00+00:00,52.3426930250513,52.64482498168945,52.3426930250513,52.64482498168945,400,27.729999542236328,-0.1819999694824219
