model,best_epoch,best_val_auc,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_strategy_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,val_strategy_sharpe,val_strategy_max_drawdown,test_strategy_sharpe,test_strategy_cumulative_return,test_strategy_max_drawdown
transformer,6,0.506173769502827,0.506173769502827,0.642011401841836,0.5155722763060931,0.6424242424242425,topk,2,0.6,0.5,True,1.1114342884187869,-0.2324506848199901,0.041153660527971744,-0.05162769095017794,-0.4203107654952448
lstm,2,0.5016964733251451,0.5016964733251451,0.5114842694460529,0.5041657467601889,0.49159814086521275,topk,2,0.58,0.5,True,0.3959688128919325,-0.23836146620157583,-0.09750745145756823,-0.10300005650696287,-0.22496281108739402
