epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0003,0.6922429876777301,0.6893004167647588,0.6846361185983828,0.4952174623937214,topk,3,0.58,0.5,True,1.693899191911028,0.20090017637882918,-0.09166981467696222,1.217948717948718,3.7307107944858373
2,0.0003,0.6839890210346561,0.687871792013683,0.6461001164144354,0.5288408477763243,topk,3,0.56,0.5,True,2.5428657340865812,0.2463744381422972,-0.04915760798821711,1.1153846153846154,5.543382864094146
3,0.0003,0.6815098639781163,0.6872805319135151,0.6916087653661144,0.51819254823414,topk,3,0.58,0.5,True,4.247098296518969,0.37823074360430464,-0.026595558795890706,1.141025641025641,9.209052371151236
4,0.0003,0.6803466846318206,0.6871357781546457,0.6965333333333333,0.519694755559189,topk,3,0.58,0.5,True,4.028876961870084,0.31965533070630703,-0.01701695840253492,1.051282051282051,8.66929596635027
5,0.0003,0.6791643018443982,0.6888071251293969,0.6543566070398154,0.5162228172007848,topk,2,0.56,0.5,True,3.482653735622309,0.3259062204922776,-0.015148615157335898,1.0,7.596175616529369
