strategy,split,periods,cumulative_return,annualized_return,sharpe,max_drawdown,win_rate,avg_turnover,avg_holdings,avg_exposure,avg_max_sector_weight,avg_distinct_sectors,nvda_presence_rate
static_prediction_only,val,101,0.3837765421434334,0.17596206664635905,0.8018562969115771,-0.23475007841823936,0.5148514851485149,0.6881188118811881,3.9702970297029703,1.0,0.5165016501650165,2.8415841584158414,0.10891089108910891
static_prediction_only,test,113,0.6161132694683391,0.23874555995531765,1.15449513372014,-0.23217699363218125,0.5752212389380531,0.7964601769911505,3.725663716814159,0.9911504424778761,0.5147492625368731,2.7787610619469025,0.49557522123893805
final_sticky_execution,val,101,0.4254503311394271,0.19350327976862935,0.8917161580351498,-0.21275964205111197,0.504950495049505,0.7029702970297029,1.8712871287128714,0.9900990099009901,0.6138613861386139,1.7425742574257426,0.039603960396039604
final_sticky_execution,test,113,0.5139120177125063,0.2031729833821292,1.134012079864403,-0.1731837096755079,0.415929203539823,0.6194690265486725,1.1415929203539823,0.7345132743362832,0.5575221238938053,1.0884955752212389,0.168141592920354
