strategy,n_bootstrap,block_length,orig_periods,cumret_mean,cumret_median,cumret_ci_5,cumret_ci_95,annret_mean,annret_ci_5,annret_ci_95,sharpe_mean,sharpe_median,sharpe_ci_5,sharpe_ci_95,mdd_mean,mdd_ci_5,mdd_ci_95,prob_cumret_positive,prob_sharpe_positive
static_prediction_only,2000,3,113,0.6234436358099997,0.5739918448207707,-0.009346605551097582,1.3837469079866211,0.23068911897322028,-0.004179620145464211,0.4732101344381384,1.1406240002669834,1.1121405110302067,0.09007403402959434,2.2667681004537674,-0.17956241569306702,-0.30457426424533707,-0.10205906923168367,0.9455,0.965
final_sticky_execution,2000,3,113,0.5424610821082082,0.5086426662737171,0.0004078306047629617,1.219962717791777,0.2044376758070351,0.0001818767279539121,0.4271719510005013,1.1208412659504863,1.1214518051964038,0.0941948319726615,2.1617594853128956,-0.15974184330150196,-0.27194290077820515,-0.08022336201509395,0.95,0.9635
static_prediction_only,2000,5,113,0.6113616636668922,0.5675843717113472,-0.0083967295654594,1.3939058950577685,0.2264965452751224,-0.003753855833377465,0.47600716169702495,1.1138400859750253,1.0760597475513132,0.09892847994788291,2.233785981938255,-0.18661227735248864,-0.31270323319847343,-0.10754280454039189,0.946,0.968
final_sticky_execution,2000,5,113,0.5614346046578692,0.5246734506581102,-0.0033956734155054288,1.2593708948507696,0.21066997842972449,-0.0015159575680978364,0.4384166183351118,1.1521454538221265,1.1539269773275431,0.07705219964402475,2.2017718572388616,-0.16496942185394936,-0.2827419588851411,-0.07937239612897266,0.947,0.9575
static_prediction_only,2000,10,113,0.6764035342262246,0.6236758844299296,-0.015364236122087965,1.537688471709811,0.24646979018441548,-0.00688211957748428,0.51490924445616,1.1890947153356148,1.175706809794538,0.07993901175872249,2.4042646270805683,-0.19818173935120303,-0.34128861427481816,-0.1077399441277273,0.945,0.9605
final_sticky_execution,2000,10,113,0.5376540264163164,0.5035292254741247,-0.020960618227832226,1.1815580787753273,0.20251027431416782,-0.009403685480851003,0.41610666645983935,1.1279445780991373,1.1321280433580787,0.033018132699351284,2.17961741802968,-0.17464027666267623,-0.29732705007350146,-0.08164508829905423,0.9365,0.956
