date,close,target_return,sentiment_score,dc_trend,dc_event,dc_drawdown,dc_T,dc_TMV,dc_R
2010-01-04,84.79638671875,0.0026472787813178744,0.3306666056315104,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,85.02086639404297,0.0007036164774218978,0.3766666412353515,1.0,0.0,0.0,0.0,0.0,0.0026472787813178397
2010-01-06,85.0806884765625,0.004221689687380348,0.3893333435058593,1.0,0.0,0.0,0.0,0.0,0.0007036164774218616
2010-01-07,85.43987274169922,0.0033274175077184776,0.3960000356038411,1.0,0.0,0.0,0.0,0.0,0.004221689687380287
2010-01-08,85.72416687011719,0.0013967556891494315,0.4580000559488932,1.0,0.0,0.0,0.0,0.0,0.003327417507718478
2010-01-11,85.84390258789062,-0.00932629749802072,0.4966667175292969,1.0,0.0,0.0,0.0,0.0,0.0013967556891495026
2010-01-12,85.04329681396484,0.00844592548799894,0.4499999999999999,1.0,0.0,-0.009326297498020749,1.0,-0.009326297498020749,-0.009326297498020749
2010-01-13,85.76156616210938,0.002704756007949616,0.4766666412353515,1.0,0.0,-0.0009591412237689273,2.0,-0.0009591412237689273,0.008445925487999016
2010-01-14,85.9935302734375,-0.011224127309041432,0.4913333892822266,1.0,0.0,0.0,0.0,0.0,0.002704756007949513
2010-01-15,85.02832794189453,0.012495835514089837,0.4726666768391927,1.0,0.0,-0.011224127309041406,1.0,-0.011224127309041406,-0.011224127309041406
2010-01-19,86.09082794189453,-0.010169090180632057,0.4946666717529296,1.0,0.0,0.0,0.0,0.0,0.012495835514089802
2010-01-20,85.21536254882812,-0.019229054372735144,0.4213333129882812,1.0,0.0,-0.010169090180632088,1.0,-0.010169090180632088,-0.010169090180632088
2010-01-21,83.57675170898438,-0.02229151444711852,0.1819999694824219,-1.0,1.0,0.0,0.0,0.0,-0.019229054372735095
2010-01-22,81.71369934082031,0.005127736854852349,-0.1539999643961589,-1.0,0.0,0.0,0.0,0.0,-0.022291514447118518
2010-01-25,82.13270568847656,-0.004190780413138584,-0.0273333231608072,-1.0,0.0,0.0051277368548523685,1.0,0.0051277368548523685,0.0051277368548523685
