date,close,target_return,sentiment_score,dc_trend,dc_event,dc_drawdown,dc_T,dc_TMV,dc_R
2018-01-02,52.10206985473633,0.008552855802484327,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,52.54769134521485,0.005257471799400948,1.0,1.0,0.0,0.0,0.0,0.0,0.008552855802484277
2018-01-04,52.82395935058594,0.004555701237856535,1.0,1.0,0.0,0.0,0.0,0.0,0.0052574717994008395
2018-01-05,53.06460952758789,0.0030736341554395974,1.0,1.0,0.0,0.0,0.0,0.0,0.004555701237856639
2018-01-08,53.22771072387695,0.004805449597139022,1.0,1.0,0.0,0.0,0.0,0.0,0.0030736341554396516
2018-01-09,53.48349380493164,-0.00749872845787225,0.9946666717529296,1.0,0.0,0.0,0.0,0.0,0.004805449597139033
2018-01-10,53.08243560791016,0.0057421207622545545,1.0,1.0,0.0,-0.007498728457872291,1.0,-0.007498728457872291,-0.007498728457872291
2018-01-11,53.38724136352539,0.010650764961706471,1.0,1.0,0.0,-0.0017996662999860845,2.0,-0.0017996662999860845,0.005742120762254665
2018-01-12,53.95585632324219,-0.0010571821503705392,0.9893333435058592,1.0,0.0,0.0,0.0,0.0,0.010650764961706364
2018-01-16,53.8988151550293,0.009243377444423606,0.8893333435058594,1.0,0.0,-0.0010571821503705687,1.0,-0.0010571821503705687,-0.0010571821503705687
2018-01-17,54.39702224731445,-0.0004096115156306812,0.8726666768391927,1.0,0.0,0.0,0.0,0.0,0.009243377444423629
2018-01-18,54.37474060058594,3.269254999915816e-05,0.8519999821980795,1.0,0.0,-0.00040961151563063096,1.0,-0.00040961151563063096,-0.00040961151563063096
2018-01-19,54.37651824951172,0.008654192738590583,0.9153333028157552,1.0,0.0,-0.00037693235687632966,2.0,-0.00037693235687632966,3.269254999925635e-05
2018-01-22,54.84710311889648,0.00373727929489287,0.931333351135254,1.0,0.0,0.0,0.0,0.0,0.008654192738590508
2018-01-23,55.05208206176758,0.0004856019506673803,0.9266666412353516,1.0,0.0,0.0,0.0,0.0,0.003737279294892777
2018-01-24,55.07881546020508,0.0,0.9019999821980794,1.0,0.0,0.0,0.0,0.0,0.00048560195066747053
2018-01-25,55.07881546020508,0.011974306893454578,0.8946666717529297,1.0,0.0,0.0,1.0,0.0,0.0
2018-01-26,55.73834609985352,-0.002078777410053134,0.928000005086263,1.0,0.0,0.0,0.0,0.0,0.011974306893454549
2018-01-29,55.62247848510742,-0.013459342125034635,0.743999989827474,1.0,0.0,-0.0020787774100531724,1.0,-0.0020787774100531724,-0.0020787774100531724
2018-01-30,54.873836517333984,0.0012993534098764137,0.6806666692097982,1.0,0.0,-0.015510140558724081,2.0,-0.015510140558724081,-0.013459342125034609
2018-01-31,54.94513702392578,-0.0014598496563829055,0.7640000025431315,1.0,0.0,-0.014230940302870343,3.0,-0.014230940302870343,0.001299353409876379
2018-02-01,54.86492538452149,-0.02168633835913647,0.7686666488647461,1.0,0.0,-0.015670014925942097,4.0,-0.015670014925942097,-0.0014598496563829066
2018-02-02,53.675106048583984,-0.03694474588054375,0.5126667022705078,-1.0,1.0,0.0,0.0,0.0,-0.021686338359136442
2018-02-05,51.69209289550781,-0.004362260688911324,-0.8213333129882812,-1.0,0.0,0.0,0.0,0.0,-0.03694474588054374
2018-02-06,51.46659851074219,0.022893031695136123,-0.3319999694824218,-1.0,0.0,0.0,0.0,0.0,-0.004362260688911304
2018-02-07,52.64482498168945,-0.027577863885613008,-0.1819999694824219,1.0,1.0,0.0,0.0,0.0,0.022893031695136106
2018-02-08,51.1929931640625,-0.0134052800251806,-0.5639999389648438,-1.0,1.0,0.0,0.0,0.0,-0.027577863885613046
2018-02-09,50.50673675537109,0.027880962275184107,-0.2706666310628256,-1.0,0.0,0.0,0.0,0.0,-0.013405280025180587
2018-02-12,51.91491317749024,-0.0026610708372428737,-0.0406667073567708,1.0,1.0,0.0,0.0,0.0,0.027880962275184086
2018-02-13,51.776763916015625,0.014545013294070985,0.0020000457763671,1.0,0.0,-0.002661070837242901,1.0,-0.002661070837242901,-0.002661070837242901
2018-02-14,52.52985763549805,0.008296934574170134,0.3826666514078776,1.0,0.0,0.0,0.0,0.0,0.01454501329407098
2018-02-15,52.96569442749024,0.003634304067970273,0.3913333892822266,1.0,0.0,0.0,0.0,0.0,0.008296934574170056
2018-02-16,53.15818786621094,-0.0007543541129952924,0.3693333943684895,1.0,0.0,0.0,0.0,0.0,0.0036343040679702315
