date,stock,open,high,low,close,volume
2010-01-04,AAPL,6.395003111115491,6.427063455168152,6.363542040785281,6.412381649017334,493729600
2010-01-04,AMZN,6.8125,6.83050012588501,6.6570000648498535,6.695000171661377,151998000
2010-01-04,GOOGL,15.560829144501684,15.624368969757269,15.493568318419095,15.555865287780762,78169752
2010-01-04,JNJ,40.22334753135606,40.39739309413395,40.03687217511657,40.2047004699707,9506200
2010-01-04,JPM,27.579647584010885,28.37159774953762,27.50045080518009,28.27920150756836,35460500
2010-01-04,MSFT,22.83132188279449,23.189225989653615,22.80895234279661,23.077381134033203,38409100
2010-01-04,NVDA,0.4242421954886798,0.4267633624535448,0.4150743553579982,0.4237838089466095,800204000
2010-01-04,UNH,24.29157995432968,24.461885161011832,23.974194857419725,24.407697677612305,12199500
2010-01-04,V,19.57408796534416,19.745360488348727,19.45397404009532,19.605228424072266,20180000
2010-01-05,AAPL,6.430059646463443,6.459722892962788,6.3896090738793925,6.423467636108398,601904800
2010-01-05,AMZN,6.671500205993652,6.77400016784668,6.590499877929688,6.734499931335449,177038000
2010-01-05,GOOGL,15.566537689423312,15.582918983435604,15.426553719798234,15.487361907958984,120067812
2010-01-05,JNJ,40.14254338297609,40.16740771313074,39.67013059480991,39.73850631713867,10673100
2010-01-05,JPM,28.23960312114124,28.932558510196426,28.233002131389693,28.82696533203125,41208300
2010-01-05,MSFT,23.00282195608269,23.18923055958063,22.846237989608337,23.084840774536133,49749600
2010-01-05,NVDA,0.422179373344118,0.4345559718898349,0.422179373344118,0.4299720525741577,728648000
2010-01-05,UNH,24.56250789153055,24.748294098813933,24.21415930656079,24.368980407714844,11180700
2010-01-05,V,19.41839387949966,19.469552498879175,19.12923041534012,19.380578994750977,25833600
2010-01-06,AAPL,6.423469528529809,6.448938266901206,6.314703725923095,6.321295738220215,552160000
2010-01-06,AMZN,6.730000019073486,6.736499786376953,6.582499980926514,6.612500190734863,143576000
2010-01-06,GOOGL,15.533776534314384,15.533776534314384,15.049789129212954,15.096946716308594,158988852
2010-01-06,JNJ,39.71987450413073,40.11769445456158,39.67636309525198,40.06174850463867,13171500
2010-01-06,JPM,28.675178702946543,29.09755146579352,28.582784975766305,28.9853572845459,27729000
2010-01-06,MSFT,23.02518362089072,23.1743110307402,22.7567562742198,22.943164825439453,58182400
2010-01-06,NVDA,0.4297429551288155,0.4336392820750168,0.4256174212295289,0.4327225089073181,649168000
2010-01-06,UNH,24.46187408318218,24.817965418759183,24.31479278306358,24.60895538330078,9761100
2010-01-06,V,19.353876368055804,19.36944659453745,19.106975850255846,19.12032127380371,16254000
2010-01-07,AAPL,6.34466701205548,6.352157935585538,6.263766638128139,6.309609889984131,477131200
2010-01-07,AMZN,6.600500106811523,6.616000175476074,6.440000057220459,6.5,220604000
2010-01-07,GOOGL,15.125240293435954,15.140132809436482,14.709507835023048,14.745495796203612,256315428
2010-01-07,JNJ,39.93741984530774,39.99957830514998,39.62040790620309,39.77580642700195,10901600
2010-01-07,JPM,28.899558962944383,29.77730171906959,28.7807663316583,29.55951690673828,44864700
2010-01-07,MSFT,22.83878378371537,22.890979392606774,22.510705632364655,22.704570770263672,50559700
2010-01-07,NVDA,0.4304304822197261,0.4322640555943939,0.4210334357510011,0.4242421686649322,547792000
2010-01-07,UNH,24.45413475151652,25.58433463047601,24.45413475151652,25.553369522094727,11789800
2010-01-07,V,19.122549054668568,19.35165457873142,19.0291276812303,19.29827117919922,27841200
2010-01-08,AAPL,6.301220402913081,6.352157882392279,6.264067022712402,6.351558208465576,447610800
2010-01-08,AMZN,6.527999877929688,6.684000015258789,6.451499938964844,6.676000118255615,196610000
2010-01-08,GOOGL,14.693373982065,14.972597536172898,14.621643984303,14.94207000732422,188783028
2010-01-08,JNJ,39.73230043548323,39.94364493117181,39.55203991818557,39.91256332397461,7898000
2010-01-08,JPM,29.28232207559361,29.50010932227156,29.090936258331567,29.486909866333008,33110100
2010-01-08,MSFT,22.577810293462587,23.025189798676656,22.547984234616443,22.86115074157715,51197400
2010-01-08,NVDA,0.4208042372414067,0.4281385308866252,0.4182830977078908,0.4251589775085449,478168000
2010-01-08,UNH,25.437255846856797,25.4837005583537,25.034718280243045,25.31339836120605,7228700
2010-01-08,V,19.31160656290464,19.43839313150765,19.180372087081697,19.35164451599121,11907200
2010-01-11,AAPL,6.376126420287547,6.382119157541543,6.24578758540687,6.295526504516602,462229600
2010-01-11,AMZN,6.63100004196167,6.639999866485596,6.4604997634887695,6.515500068664551,175588000
2010-01-11,GOOGL,15.002630629433716,15.002630629433716,14.744006886730208,14.91948413848877,288227484
2010-01-11,JNJ,40.2482177636109,40.2482177636109,39.788239459895024,39.91877365112305,7975700
2010-01-11,JPM,29.777309115334464,29.82350598147151,29.24274465930856,29.3879337310791,31878700
2010-01-11,MSFT,22.89843065072224,22.93571322225736,22.458507684085298,22.57035255432129,68754700
2010-01-11,NVDA,0.4274509508870755,0.4292845243560531,0.4132407769942381,0.4191998839378357,556612000
2010-01-11,UNH,25.321135512019136,25.646263223446645,25.313395711911493,25.48369789123535,7206900
2010-01-11,V,19.46510047784145,19.560746677606357,19.167039556493204,19.296051025390625,12912000
2010-01-12,AAPL,6.267961006095432,6.285340348320906,6.184963975653417,6.223915576934815,594459600
2010-01-12,AMZN,6.44950008392334,6.491000175476074,6.327499866485596,6.367499828338623,181926000
2010-01-12,GOOGL,14.83360645975559,14.84626486135361,14.594094708320636,14.655648231506348,193937868
2010-01-12,JNJ,39.86283363276861,40.22957667031503,39.79445789258856,40.13011932373047,10820700
2010-01-12,JPM,29.03155139396013,29.13714456549766,28.33859353085909,28.70157241821289,47109600
2010-01-12,MSFT,22.480871460162348,22.667280015258527,22.301919417932144,22.421220779418945,65912100
2010-01-12,NVDA,0.4130115765254196,0.4146159429838673,0.3962802365425657,0.4049896895885467,627432000
2010-01-12,UNH,25.313397206647085,25.47595959546248,24.41542973838721,24.81022453308105,13121500
2010-01-12,V,19.25823051757614,19.362774195797645,19.095853841333238,19.2048454284668,12842000
2010-01-13,AAPL,6.228410754835679,6.32009685372256,6.115450034182275,6.311707019805908,605892000
2010-01-13,AMZN,6.394999980926514,6.485499858856201,6.287499904632568,6.45550012588501,214464000
2010-01-13,GOOGL,14.308417395269844,14.603525659974146,14.24413413017102,14.571508407592772,259604136
2010-01-13,JNJ,40.11768216205977,40.546583591292965,40.11768216205977,40.38496780395508,13023800
2010-01-13,JPM,28.74117105209192,29.387929604739995,28.292399400452023,29.20314216613769,39622000
2010-01-13,MSFT,22.56289006461165,22.756755118698315,22.37648152285728,22.62999725341797,51863500
2010-01-13,NVDA,0.4077400473429584,0.411865580447595,0.3919255083289038,0.4104903936386108,508868000
2010-01-13,UNH,24.76378696482895,25.19728829568971,24.52381319837901,25.18954849243164,8797200
2010-01-13,V,19.23153716708208,19.396136942369388,19.11809597876302,19.38279151916504,13428800
2010-01-14,AAPL,6.295527516359286,6.306014408190058,6.262867493124975,6.275152206420898,432894000
2010-01-14,AMZN,6.456999778747559,6.519000053405762,6.320000171661377,6.367499828338623,195498000
2010-01-14,GOOGL,14.492333268362035,14.74797850733287,14.465279871224102,14.64001178741455,169434396
2010-01-14,JNJ,40.52793299700205,40.571444393849184,40.24821755189717,40.46577453613281,7899000
2010-01-14,JPM,29.170137082307324,29.55951230928699,29.104139787668768,29.49351501464844,37938300
2010-01-14,MSFT,22.600178689878447,23.18923055958063,22.56289753805277,23.084840774536133,63228100
2010-01-14,NVDA,0.4054481272933877,0.4084276534677758,0.3971970602751718,0.4040729403495788,608524000
2010-01-14,UNH,25.29791644982513,25.80108915913931,25.02697911588394,25.793346405029297,8818300
2010-01-14,V,19.34498024174673,19.46954206253976,19.24043655771221,19.44952392578125,18379600
2010-01-15,AAPL,6.320097235290131,6.340172910517019,6.168484542229492,6.170282363891602,594067600
2010-01-15,AMZN,6.459000110626221,6.482500076293945,6.353000164031982,6.35699987411499,307530000
2010-01-15,GOOGL,14.726632667041752,14.732094044490792,14.34688816738892,14.395536422729492,217162620
2010-01-15,JNJ,40.49064509151852,40.52793922529408,39.76959592713607,40.13011932373047,20995000
2010-01-15,JPM,29.236138582728795,29.32193382671923,28.60257951373777,28.82696533203125,69738500
2010-01-15,MSFT,23.17431392062791,23.29361529451088,22.898428604658186,23.01027488708496,79913200
2010-01-15,NVDA,0.4010934143101872,0.4045313545827389,0.3868832393257836,0.3921547532081604,818192000
2010-01-15,UNH,25.963646887918003,26.311996935304094,25.623036640253847,26.126209259033203,19382000
2010-01-15,V,19.45843084154532,19.4717762724982,19.11143436351517,19.160369873046875,21295200
2010-01-19,AAPL,6.242192892387339,6.447739010868917,6.209533669533791,6.443244457244873,730007600
2010-01-19,AMZN,6.315499782562256,6.400000095367432,6.21649980545044,6.380499839782715,177852000
2010-01-19,GOOGL,14.425319618975964,14.654158319311357,14.303453538291604,14.584662437438965,172495332
2010-01-19,JNJ,39.86904555983892,40.869812449397614,39.850398495449966,40.62117385864258,15181800
2010-01-19,JPM,28.64218507286313,28.873169421216627,28.31220599376351,28.56298828125,41731500
2010-01-19,MSFT,22.92825387079841,23.293614493524604,22.87605969929246,23.18922615051269,46575700
2010-01-19,NVDA,0.3891750809362157,0.402010064972193,0.3880291011945146,0.3994889259338379,545328000
2010-01-19,UNH,26.753253512091508,27.790561450861745,26.706805830177675,27.19449615478516,26477900
2010-01-19,V,19.16703283616144,19.6652835005804,19.06248915481436,19.540719985961918,15239600
2010-01-20,AAPL,6.439348828024793,6.458525189064216,6.277249269939606,6.344067096710205,612152800
2010-01-20,AMZN,6.356500148773193,6.460000038146973,6.254000186920166,6.289000034332275,181494000
2010-01-20,GOOGL,14.543957603681072,14.543957603681072,14.27863436727496,14.40571117401123,129897972
2010-01-20,JNJ,40.69577044581048,40.99413298710706,40.07417628532432,40.49686050415039,13033000
2010-01-20,JPM,28.38480508413306,28.82697844971898,28.18681809967208,28.64219093322754,39934400
2010-01-20,MSFT,22.97299520035841,23.06992846766191,22.600178004665946,22.808956146240234,54849500
2010-01-20,NVDA,0.394446637898164,0.3994889711907293,0.3891751250246829,0.3978845775127411,719728000
2010-01-20,UNH,27.82152095479137,27.92215611280235,26.544240830943984,26.745508193969727,26854700
2010-01-20,V,19.50290899497108,19.516254420622328,19.198175432055333,19.44507598876953,12771200
2010-01-21,AAPL,6.354554098420928,6.391408236631557,6.208633729818216,6.234401702880859,608154400
2010-01-21,AMZN,6.36299991607666,6.40749979019165,6.25,6.330999851226807,199412000
2010-01-21,GOOGL,14.480917026040874,14.564807907577888,14.203182241803582,14.469499588012695,252055692
2010-01-21,JNJ,40.44713463340321,40.69577326328901,39.65770971038855,39.76338195800781,14473900
2010-01-21,JPM,28.40459076703332,28.477186544326457,26.60950433774771,26.754695892333984,137547700
2010-01-21,MSFT,22.823864749755344,22.905883549818306,22.36902740410616,22.376483917236328,73086700
2010-01-21,NVDA,0.3976555256890809,0.404760614104162,0.3871124965548942,0.3907796442508697,608632000
