split,feature,feature_group,cross_sectional_eligible,missing_rate,std,cs_ic_mean,cs_ic_std,cs_ic_ir,cs_ic_hit_rate,cs_ic_n_dates,cs_ic_eligible_dates,cs_ic_skipped_constant_dates,global_auc,global_auc_edge,global_auc_direction,spearman_with_return,pearson_with_return,top_bottom_spread,top_bottom_direction,ts_spearman_with_mean_return,ts_pearson_with_mean_return,ts_spearman_with_median_return,ts_auc_vs_date_positive_rate,ts_auc_edge_vs_date_positive_rate,ts_n_dates,train_cs_ic_mean_ref,train_auc_edge_ref,train_top_bottom_spread_ref,train_ts_spearman_ref,train_ts_auc_edge_ref,generalization_ic_gap,generalization_auc_gap,generalization_spread_gap,generalization_ts_gap,train_rank_score
train,vix_level,sentiment_proxy,False,0.0,7.254371367051657,,,,,0,0,0,0.5060023669120431,0.006002366912043144,1.0,0.045438639433673066,0.056893480403283125,0.0033638079461322436,1.0,0.07778361038429149,0.08518018797018109,0.08443489531460824,0.5131087329405624,0.013108732940562362,2961,,0.006002366912043144,0.0033638079461322436,0.07778361038429149,0.013108732940562362,,0.0,0.0,0.0,0.30500693646767224
train,mkt_volatility_20d,benchmark_market,False,0.0,0.006018851007916533,,,,,0,0,0,0.5076275722427173,0.007627572242717262,1.0,0.0395865735096259,0.05150151234703954,0.0015131168972263255,1.0,0.06210260643507299,0.07560459713273489,0.07686049638753026,0.5141570027593407,0.014157002759340731,2961,,0.007627572242717262,0.0015131168972263255,0.06210260643507299,0.014157002759340731,,0.0,0.0,0.0,0.2542083983335263
train,credit_stress,macro_proxy,False,0.0,0.020557511231200105,,,,,0,0,0,0.4983909836332878,0.0016090163667121793,-1.0,0.02150132377259074,0.08318957787349222,0.0018377484914583238,1.0,0.04756549002060622,0.12707082672528788,0.03613164895307581,0.494689900440003,0.005310099559997006,2961,,0.0016090163667121793,0.0018377484914583238,0.04756549002060622,0.005310099559997006,,0.0,0.0,0.0,0.1748179929544034
train,vix_z_60,sentiment_proxy,False,0.0,1.2602596126109868,,,,,0,0,0,0.5020160750387437,0.002016075038743681,1.0,0.01703971183604865,0.005705313832552269,4.730624078522899e-07,1.0,0.03323542568158771,0.007084475085143499,0.03565543883398845,0.4960632783951078,0.003936721604892224,2961,,0.002016075038743681,4.730624078522899e-07,0.03323542568158771,0.003936721604892224,,0.0,0.0,0.0,0.12461943209059621
train,vix_change_5d,sentiment_proxy,False,0.0,0.18044105621729556,,,,,0,0,0,0.5105746171698714,0.010574617169871403,1.0,0.02364282509431309,0.021162875474016282,-7.419574736638838e-05,-1.0,0.03066343059422904,0.03261106281443331,0.044684838421781364,0.5138840983667686,0.013884098366768627,2961,,0.010574617169871403,-7.419574736638838e-05,0.03066343059422904,0.013884098366768627,,0.0,0.0,0.0,0.14340131361053746
train,mkt_dc_event,benchmark_market,False,0.0,0.27997636183276003,,,,,0,0,0,0.4989165637899791,0.0010834362100208828,-1.0,-0.0019027479531711464,-0.004479662515976101,-5.090079993256419e-05,-1.0,0.0040730851481277095,-0.007227497974440491,-0.004026704261813111,0.4993371988962637,0.000662801103736288,2961,,0.0010834362100208828,-5.090079993256419e-05,0.0040730851481277095,0.000662801103736288,,0.0,0.0,0.0,0.015447605605026851
train,mkt_dc_run_length,benchmark_market,False,0.0,2.6695083255422887,,,,,0,0,0,0.4966561651209024,0.003343834879097618,-1.0,-0.011889962873116684,-0.03437896106944511,-0.0013590301458668765,-1.0,-0.003973426415698149,-0.050473945149745666,-0.0003785702906013214,0.5000708479379521,7.084793795208988e-05,2961,,0.003343834879097618,-0.0013590301458668765,-0.003973426415698149,7.084793795208988e-05,,0.0,0.0,0.0,0.02395193799611531
train,macro_news_pressure,macro_proxy,False,0.0,0.5339203014510935,,,,,0,0,0,0.4897703724701634,0.010229627529836582,-1.0,-0.009013965609025561,-0.004608099626997894,-0.0009544012791771785,-1.0,-0.013301285971419722,-0.004287128857653628,-0.017504083277867503,0.4813791110448206,0.018620888955179382,2961,,0.010229627529836582,-0.0009544012791771785,-0.013301285971419722,0.018620888955179382,,0.0,0.0,0.0,0.0861596014336435
train,hyg_return_5d,macro_proxy,False,0.0,0.012396381063502934,,,,,0,0,0,0.49558891058689447,0.004411089413105529,-1.0,-0.019243556562505704,-0.0478912371263512,-0.0011577039620449588,-1.0,-0.021677211199318352,-0.07504005273508031,-0.024587207987689843,0.4969661234991424,0.003033876500857624,2961,,0.004411089413105529,-0.0011577039620449588,-0.021677211199318352,0.003033876500857624,,0.0,0.0,0.0,0.090342943162176
train,mkt_return_1d,benchmark_market,False,0.0,0.010666553918356912,,,,,0,0,0,0.49121731699853266,0.00878268300146734,-1.0,-0.021096564142601464,-0.03747130417553336,-0.003326590835826003,-1.0,-0.02808344466274523,-0.05760135077840645,-0.033368192993199056,0.48712292117234696,0.012877078827653043,2961,,0.00878268300146734,-0.003326590835826003,-0.02808344466274523,0.012877078827653043,,0.0,0.0,0.0,0.13110105578614323
train,sentiment_score,sentiment_proxy,False,0.0,0.46664051083214764,,,,,0,0,0,0.4979839249612563,0.002016075038743681,-1.0,-0.01703971183604865,-0.0014181974318899595,-4.730624078522899e-07,-1.0,-0.03323542568158771,-0.0003353357637718598,-0.03565543883398845,0.5039367216048922,0.003936721604892224,2961,,0.002016075038743681,-4.730624078522899e-07,-0.03323542568158771,0.003936721604892224,,0.0,0.0,0.0,0.12461943209059621
train,mkt_dc_tmv,benchmark_market,False,0.0,0.0367787767496284,,,,,0,0,0,0.4973484109530993,0.0026515890469007153,-1.0,-0.01082778557827278,-0.016860167902842713,-0.0010607555450007121,-1.0,-0.03528709644609147,-0.023865551371807067,-0.02083104444164117,0.5043266183160564,0.0043266183160564076,2961,,0.0026515890469007153,-0.0010607555450007121,-0.03528709644609147,0.0043266183160564076,,0.0,0.0,0.0,0.12534231154866002
train,rate_change_5d,macro_proxy,False,0.0,0.06112698021347965,,,,,0,0,0,0.4858879946024867,0.014112005397513283,-1.0,-0.0321715541947449,-0.0003651143537788319,-0.0027759665964853892,-1.0,-0.044805151264657055,-0.0006318148698026112,-0.055304426658567135,0.4811302110522783,0.018869788947721677,2961,,0.014112005397513283,-0.0027759665964853892,-0.044805151264657055,0.018869788947721677,,0.0,0.0,0.0,0.20432658588415942
train,mkt_return_21d,benchmark_market,False,0.0,0.04151298159782845,,,,,0,0,0,0.4870948740920333,0.012905125907966719,-1.0,-0.04157549202713866,-0.04534401385531528,-0.0032154137053845427,-1.0,-0.06271627282193748,-0.069872744113888,-0.06063920848910529,0.5009280147662019,0.0009280147662018567,2961,,0.012905125907966719,-0.0032154137053845427,-0.06271627282193748,0.0009280147662018567,,0.0,0.0,0.0,0.23158034002535482
train,mkt_dc_trend,benchmark_market,False,0.0,0.8641313836365601,,,,,0,0,0,0.4879906383283225,0.012009361671677488,-1.0,-0.04483196942570378,-0.03679904829059474,-0.0033212098424616624,-1.0,-0.0630588099508217,-0.054954621846598314,-0.06409683758254213,0.49201562383473785,0.007984376165262153,2961,,0.012009361671677488,-0.0033212098424616624,-0.0630588099508217,0.007984376165262153,,0.0,0.0,0.0,0.24997715160869322
