model,best_epoch,best_val_auc,val_auc_thr_0_5,val_f1_thr_0_5,test_auc_thr_0_5,test_f1_thr_0_5,selected_strategy_mode,selected_top_k,selected_min_prob,selected_threshold,selected_constraints_satisfied,val_strategy_sharpe,val_strategy_max_drawdown,test_strategy_sharpe,test_strategy_cumulative_return,test_strategy_max_drawdown
transformer,1,0.4808306750129825,0.4808306750129825,0.6560253091745758,0.5281088385939079,0.6237355748682148,topk,3,0.56,0.5,True,0.8887727294277125,-0.15802226550691922,0.7022340303305455,0.21547648717009893,-0.23137487962987258
lstm,1,0.4825366259839196,0.4825366259839196,0.6205533596837944,0.5110627922320071,0.6053395240858966,threshold,0,0.5,0.5,False,0.5030710967830123,-0.3376087959244114,1.1816743940236218,0.577811592170995,-0.2397762347751219
