epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0001,0.605276381643537,0.6185333348455884,0.6065573770491803,0.51484375,topk,4,0.58,0.5,True,1.002623216248262,0.07904781963390017,-0.06071940698260858,0.9230769230769231,2.2628012063797094
2,0.0001,0.600390905417882,0.615411851330409,0.5910256410256411,0.5043069556451613,topk,4,0.58,0.5,True,-0.040195109456194936,-0.01513855406973652,-0.13421706617132712,0.9038461538461539,-0.013091140637470855
3,0.0001,0.5973339970031811,0.6147338045967949,0.5814406229720961,0.4963684475806452,topk,4,0.56,0.5,True,-0.3387039794777302,-0.04649703997050103,-0.1688754802337058,1.0384615384615385,-0.7413412836235096
4,5e-05,0.5957899625488677,0.6136888619453188,0.5695097380792478,0.49388608870967743,topk,4,0.56,0.5,True,0.09683707153292188,-0.0007859373159090355,-0.16608777312584855,0.9038461538461539,0.27925758791293387
5,5e-05,0.5960888549977762,0.6132476799071781,0.5591836734693878,0.4918359375,topk,4,0.56,0.5,True,0.03644037328148153,-0.007805234251422655,-0.16608777312584833,0.9551282051282051,0.11929852325242546
6,2.5e-05,0.5950096967038592,0.6129629907153902,0.5558583106267031,0.49168850806451614,topk,4,0.56,0.5,True,-0.0034406905909464157,-0.010605791261767195,-0.16608777312584844,0.8974358974358974,0.0597493905129351
7,2.5e-05,0.5950483422222322,0.613644061958979,0.5603217158176943,0.4902381552419355,topk,4,0.56,0.5,True,-0.15823595252828973,-0.026732880881890297,-0.16608777312584833,0.9551282051282051,-0.30950720388611686
8,1.25e-05,0.5949800670611626,0.613060550651853,0.5532203389830508,0.4902066532258065,topk,4,0.56,0.5,True,-0.0034406905909464157,-0.010605791261767195,-0.16608777312584844,0.8974358974358974,0.058267535674225435
