regime_bucket,n_folds,selected_test_cumret_mean,selected_test_cumret_std,selected_test_sharpe_mean,selected_test_sharpe_std,selected_test_mdd_mean,selected_test_turnover_mean,current_fixed_test_cumret_mean,current_fixed_test_sharpe_mean,current_fixed_test_mdd_mean,selected_matches_current_fixed_rate
2020_2022,6,0.1444804010341229,0.21426859870398732,1.3239767182615616,1.4843545078337734,-0.10399304289017036,0.8653846153846154,0.10773268797013802,1.1350952376547923,-0.11965787623660316,0.16666666666666666
2023_plus,6,0.05646142978807108,0.16167227838220585,0.710863262041524,1.1219339227525578,-0.11967133331465042,0.8009401709401711,-0.008505273255341969,-0.149340048784013,-0.12302851337859987,0.0
pre_2020,9,0.12672220785174348,0.12659231060676096,1.1395560592362846,0.7937348464344998,-0.10801308971127936,0.9415954415954416,0.06998583905156372,0.8942470543364469,-0.10060439354331183,0.0
