fold_id,strategy_type,cost_bps,periods,cumulative_return,annualized_return,sharpe,max_drawdown,win_rate,avg_turnover,avg_holdings
1,selected,5.0,26,0.07836655720143115,0.1574878132869877,0.733710715513234,-0.1768520659773194,0.6538461538461539,0.9230769230769231,1.9615384615384615
1,selected,10.0,26,0.06559241572728913,0.13105656908260221,0.636636869936327,-0.1806313977141607,0.6538461538461539,0.9230769230769231,1.9615384615384615
1,selected,20.0,26,0.040474966962431136,0.07994804696234281,0.44111708980014475,-0.18814382630294757,0.6538461538461539,0.9230769230769231,1.9615384615384615
1,current_fixed,5.0,26,-0.03938217100577346,-0.07492894504651004,-0.3276767811825996,-0.16562604646503465,0.4230769230769231,0.8846153846153846,1.0769230769230769
1,current_fixed,10.0,26,-0.050388615839650486,-0.09536452429373454,-0.44752695163037154,-0.1682038854643988,0.4230769230769231,0.8846153846153846,1.0769230769230769
1,current_fixed,20.0,26,-0.07204210092511854,-0.1349229191637895,-0.6871492102659581,-0.1733915331152217,0.4230769230769231,0.8846153846153846,1.0769230769230769
2,selected,5.0,26,0.08563908486956939,0.1726675610076367,1.0978277941945265,-0.07715244664385346,0.6538461538461539,0.8076923076923077,2.923076923076923
2,selected,10.0,26,0.07433666274182027,0.14911755998593623,0.9678635355903118,-0.07810655556295354,0.6538461538461539,0.8076923076923077,2.923076923076923
2,selected,20.0,26,0.05206680911092043,0.10339275290475092,0.7073660876411487,-0.08001344006782041,0.6538461538461539,0.8076923076923077,2.923076923076923
2,current_fixed,5.0,26,0.18186565121569598,0.3825170366963222,2.243177361202663,-0.04122663942384652,0.46153846153846156,1.0384615384615385,1.3846153846153846
2,current_fixed,10.0,26,0.16610159125228918,0.34699480673173433,2.067035082404791,-0.0427017220442788,0.46153846153846156,1.0384615384615385,1.3846153846153846
2,current_fixed,20.0,26,0.1351667735926727,0.2785892661507776,1.7138929525703648,-0.04564888728514327,0.46153846153846156,1.0384615384615385,1.3846153846153846
3,selected,5.0,26,0.13298079339463165,0.2738207618701638,1.7410672082231318,-0.06085738728812451,0.6153846153846154,1.1153846153846154,1.8461538461538463
3,selected,10.0,26,0.11676748684534899,0.23872233586434333,1.5506360167580773,-0.06321802271558163,0.6153846153846154,1.1153846153846154,1.8461538461538463
3,selected,20.0,26,0.08500068408798023,0.1713312110991716,1.1665507328066158,-0.0699525305731219,0.5769230769230769,1.1153846153846154,1.8461538461538463
3,current_fixed,5.0,26,0.08012699237525811,0.161153537446866,1.0886470967000736,-0.06892069787555088,0.38461538461538464,0.9230769230769231,1.3076923076923077
3,current_fixed,10.0,26,0.06732314888167101,0.13462035294067398,0.9340977079293424,-0.0721935896751088,0.38461538461538464,0.9230769230769231,1.3076923076923077
3,current_fixed,20.0,26,0.04214591030182735,0.08331252169802261,0.6207043471246044,-0.07870979985364446,0.38461538461538464,0.9230769230769231,1.3076923076923077
4,selected,5.0,26,0.0457813729620109,0.09065009357769194,0.6767872109660158,-0.053379636481739934,0.46153846153846156,0.8846153846153846,1.8461538461538463
4,selected,10.0,26,0.03383808283237699,0.06663459575157149,0.520537193215153,-0.055772506730004445,0.4230769230769231,0.8846153846153846,1.8461538461538463
4,selected,20.0,26,0.010337234642085802,0.02013550811519549,0.20785489853098651,-0.06054373096953669,0.4230769230769231,0.8846153846153846,1.8461538461538463
4,current_fixed,5.0,26,0.12181848094211523,0.24960576827691439,1.9672095626205643,-0.04083869096712189,0.34615384615384615,0.7307692307692307,1.1538461538461537
4,current_fixed,10.0,26,0.1112520513206221,0.22689081708591274,1.8090116627303336,-0.041817818242380955,0.34615384615384615,0.7307692307692307,1.1538461538461537
4,current_fixed,20.0,26,0.09039646901470921,0.1826493149070072,1.4910857508771669,-0.04377457279289887,0.34615384615384615,0.7307692307692307,1.1538461538461537
5,selected,5.0,26,0.3330539232880405,0.7458723957152857,2.1741961716397076,-0.10514668984906461,0.6153846153846154,0.9102564102564104,2.1538461538461537
5,selected,10.0,26,0.31758749166510536,0.7068206268173478,2.0934395170957174,-0.10609413597492645,0.6153846153846154,0.9102564102564104,2.1538461538461537
5,selected,20.0,26,0.287166580928399,0.6312583843101842,1.931045681585196,-0.1079876948933165,0.6153846153846154,0.9102564102564104,2.1538461538461537
5,current_fixed,5.0,26,-0.011065486703085381,-0.021338620794027485,-0.043017328237565856,-0.10338355498930318,0.2692307692307692,0.4230769230769231,0.6923076923076923
5,current_fixed,10.0,26,-0.016546593809262045,-0.03182581550754382,-0.10507768724759252,-0.10480960533954153,0.2692307692307692,0.4230769230769231,0.6923076923076923
5,current_fixed,20.0,26,-0.02742916677776719,-0.052485661719906096,-0.2278844562840444,-0.10765870604001881,0.2692307692307692,0.4230769230769231,0.6923076923076923
6,selected,5.0,26,0.1649951460332295,0.3445183928343183,2.5354130312982814,-0.046729327862812475,0.7307692307692307,1.1153846153846154,2.8846153846153846
6,selected,10.0,26,0.1482958864391446,0.30741059196990683,2.295507617483071,-0.04739599452947907,0.7307692307692307,1.1153846153846154,2.8846153846153846
6,selected,20.0,26,0.11558161743649742,0.23617381138789484,1.8182869125367693,-0.049959049014948076,0.6923076923076923,1.1153846153846154,2.8846153846153846
6,current_fixed,5.0,26,0.13843566493641957,0.28573612912139934,2.4062968820016417,-0.024825992170245614,0.34615384615384615,0.8461538461538461,0.8076923076923077
6,current_fixed,10.0,26,0.12607898813243912,0.2588217608696972,2.22128622793147,-0.0260540209192488,0.34615384615384615,0.8461538461538461,0.8076923076923077
6,current_fixed,20.0,26,0.10174548301080022,0.20662672520196979,1.8423333647424653,-0.030939770036756076,0.34615384615384615,0.8461538461538461,0.8076923076923077
7,selected,5.0,26,0.011329295977388743,0.022078125477599908,0.2057003649387026,-0.12275992585202233,0.46153846153846156,0.9230769230769231,2.0
7,selected,10.0,26,-0.0007275558692247941,-0.0014098575844754269,0.10412857518076925,-0.12498807097599729,0.46153846153846156,0.9230769230769231,2.0
7,selected,20.0,26,-0.02443078757526862,-0.046814969760815894,-0.09922049121554488,-0.12991518998712748,0.38461538461538464,0.9230769230769231,2.0
7,current_fixed,5.0,26,0.0033906137292532,0.006583030415471036,0.1453611221334449,-0.12275992585202233,0.46153846153846156,0.8846153846153846,1.6153846153846154
7,current_fixed,10.0,26,-0.00810624878661137,-0.015653871496451366,0.05512465458212001,-0.12498807097599729,0.4230769230769231,0.8846153846153846,1.6153846153846154
7,current_fixed,20.0,26,-0.03072456151909564,-0.058699187367068695,-0.12500813791745802,-0.12991518998712748,0.34615384615384615,0.8846153846153846,1.6153846153846154
8,selected,5.0,26,0.04357505938636108,0.08619415902292715,0.47854574742269296,-0.09945799989571025,0.5384615384615384,0.8333333333333334,3.0
8,selected,10.0,26,0.03235713091151049,0.0636747487392546,0.38449534787836953,-0.10221725774348711,0.5384615384615384,0.8333333333333334,3.0
8,selected,20.0,26,0.010261994721695089,0.019988249115690637,0.19596282035702295,-0.10771452088329225,0.5384615384615384,0.8333333333333334,3.0
8,current_fixed,5.0,26,0.04892692167544199,0.09701820457326127,0.4790691485344559,-0.12474195771564645,0.5769230769230769,1.0384615384615385,1.8461538461538463
8,current_fixed,10.0,26,0.034910628418483025,0.06878068335719978,0.38000778652644523,-0.12651197639223577,0.5769230769230769,1.0384615384615385,1.8461538461538463
8,current_fixed,20.0,26,0.007408147817885347,0.014410320708928115,0.1812116055387631,-0.13004395887236786,0.5769230769230769,1.0384615384615385,1.8461538461538463
