variant,delta_test_auc_vs_full,delta_test_f1_vs_full,delta_test_fixed_cumret_vs_full,delta_test_fixed_sharpe_vs_full,delta_test_fixed_mdd_vs_full,delta_test_fixed_turnover_vs_full
no_dc,-0.0010442845262640388,-0.027624862623330304,-0.10911900764401605,-0.14942722122904206,-0.048508444057400846,0.03508771929824561
dc_only,-0.01317596693058759,0.0703345462913687,-0.19281803279326937,-0.18079475602133266,0.0006901298567955072,0.5175438596491229
