variant,n_features,n_dc_features,best_epoch,best_score,val_auc,val_f1,test_auc,test_f1,val_fixed_cumret,val_fixed_sharpe,val_fixed_mdd,val_fixed_turnover,test_fixed_cumret,test_fixed_sharpe,test_fixed_mdd,test_fixed_turnover
full_features,48,10,2,0.35373317994784303,0.48321436976703136,0.6606867554309741,0.5069457787903557,0.652589641434263,0.04438504739870064,0.2156498594069041,-0.23369316055186706,1.108910891089109,0.5222782643998893,0.8231522981447288,-0.2956244493969945,0.8508771929824561
no_dc,38,0,3,-0.07041828490119653,0.48299948709552815,0.6709035645205859,0.5059014942640917,0.6249647788109327,0.012350016501763372,0.15095707976340564,-0.33481940666859733,0.9504950495049505,0.4131592567558733,0.6737250769156867,-0.34413289345439535,0.8859649122807017
dc_only,10,10,2,3.2766065165280893,0.5210737706280969,0.691564377121964,0.49376981185976815,0.7229241877256317,0.6144083385788524,1.122657295922816,-0.13943999223302972,1.316831683168317,0.32946023160661997,0.6423575421233961,-0.294934319540199,1.368421052631579
