epoch,lr,train_loss,val_loss,val_f1,val_auc,val_strategy_mode,val_strategy_top_k,val_strategy_min_prob,val_strategy_threshold,val_strategy_constraints_satisfied,val_strategy_sharpe,val_strategy_cumret,val_strategy_mdd,val_strategy_turnover,val_strategy_score
1,0.0003,0.6966526276079018,0.7014958737388489,0.691304347826087,0.5058780839958283,topk,3,0.58,0.5,True,0.2487783350303748,0.016523017577712462,-0.17792974265824568,0.9615384615384616,0.5128414569843625
2,0.0003,0.683070078333217,0.6929701271511259,0.7002141327623127,0.5416058727552774,topk,3,0.6,0.5,True,0.8624507509156811,0.11037767424783773,-0.14566579852190387,0.9615384615384615,1.9368275492850877
3,0.0003,0.6800088332240636,0.6970547138698517,0.6935050993022007,0.5449046032515332,topk,3,0.6,0.5,True,0.4874444224498798,0.05392442051149482,-0.18726491545921609,0.9615384615384615,1.0747330675048634
4,0.0003,0.6797444618460694,0.6913385979712956,0.6891304347826086,0.5557726514941981,topk,2,0.6,0.5,True,0.9325111865526393,0.11029630072277263,-0.1227733566023873,1.0,2.0745581374243733
5,0.0003,0.6776743087189782,0.6934212007219829,0.6922660897782587,0.5713616905740044,topk,2,0.58,0.5,True,0.9376036086595879,0.11801435713902664,-0.10965583468479456,0.9615384615384616,2.109845585009961
6,0.0003,0.675207243634701,0.6939186726297651,0.6929824561403509,0.5715558081762842,topk,2,0.6,0.5,True,1.0466571203011414,0.146008112407791,-0.1140660386076725,0.9230769230769231,2.3897578790003973
7,0.0003,0.6738370152979714,0.6948407048270816,0.6985491671144546,0.586719818519073,topk,2,0.58,0.5,True,0.6977642081797505,0.08576670225050553,-0.1310335462070823,0.9230769230769231,1.5752802370287418
8,0.0003,0.6716461208175448,0.6923958441567799,0.6807780320366131,0.5820584585793637,topk,2,0.6,0.5,True,0.9307783523090045,0.13425873591492077,-0.13023936484484133,0.9230769230769231,2.137127252631153
9,0.00015,0.6692965820037606,0.6956162235093495,0.6795895096921323,0.5828983661134104,topk,2,0.54,0.5,True,0.9278018533421674,0.1320346026749215,-0.12147590976566291,0.9230769230769231,2.126935965100992
10,0.00015,0.6693391564829386,0.6937155195644924,0.7011431682090364,0.6020386154466861,topk,3,0.54,0.5,True,0.7540971906249606,0.08869505066548578,-0.13172187718192008,0.8589743589743588,1.7072479825964104
