model,setting,n_folds,best_val_auc_mean,best_val_auc_std,val_auc_thr_0_5_mean,val_auc_thr_0_5_std,val_f1_thr_0_5_mean,val_f1_thr_0_5_std,test_auc_thr_0_5_mean,test_auc_thr_0_5_std,test_f1_thr_0_5_mean,test_f1_thr_0_5_std,val_strategy_sharpe_mean,val_strategy_sharpe_std,val_strategy_max_drawdown_mean,val_strategy_max_drawdown_std,test_strategy_sharpe_mean,test_strategy_sharpe_std,test_strategy_cumulative_return_mean,test_strategy_cumulative_return_std,test_strategy_max_drawdown_mean,test_strategy_max_drawdown_std,selected_constraints_satisfied_rate
lstm,no_fundamentals,6,0.5876565340063128,0.04487826098938896,0.5876565340063128,0.04487826098938896,0.678779922207078,0.022635368823013095,0.5759547633962178,0.03380276548202962,0.6224227373762282,0.028634796036712158,4.357303798534837,2.0812407940687807,-0.03004116698104074,0.02774076392543148,1.7775573872875234,3.2012243514125625,0.015025810362754374,0.13959026774216368,-0.06706832715394244,0.10601053102431579,1.0
lstm,with_fundamentals,6,0.5911016006927323,0.06037169143213771,0.5911016006927323,0.06037169143213771,0.6667885006878497,0.04153737645586979,0.5527797114737957,0.048959167713925875,0.5995174416582075,0.07976529711845719,4.455047863359987,2.3065883306418353,-0.026035349563978794,0.015142037442961769,1.9223164422348,2.2401714889208515,0.04326594301958261,0.04563994219953212,-0.029243235681133017,0.02030878493841939,1.0
transformer,no_fundamentals,6,0.5742262430169645,0.01990226444273722,0.5742262430169645,0.01990226444273722,0.6692152199130049,0.03150890072570726,0.568703907367547,0.05979458273314732,0.6135481209359425,0.0818674053898609,3.075703679396728,1.3787861573100373,-0.029209219611588972,0.01435203037477928,1.1753642316450172,2.098213144042464,0.021821602098424358,0.030945454649672546,-0.03310665609049005,0.02120622395154824,1.0
transformer,with_fundamentals,6,0.5584623478741162,0.02522341329115434,0.5584623478741162,0.02522341329115434,0.6726891190621692,0.03757123209058246,0.5662146371096602,0.06860429338241722,0.6334302209026837,0.07056760176580183,3.151918782205844,1.6606523587542705,-0.030905141310267392,0.02257650914252451,1.981726157662137,1.426957547281846,0.04385362713332397,0.024836016634660226,-0.04509704999655569,0.03824951665832125,1.0
