variant,delta_test_auc_vs_full,delta_test_f1_vs_full,delta_test_fixed_cumret_vs_full,delta_test_fixed_sharpe_vs_full,delta_test_fixed_mdd_vs_full,delta_test_fixed_turnover_vs_full
no_dc,-0.0033060643861297923,-0.03569511852976437,-0.19255940836271845,-0.2927632529073818,-0.032564047610755376,0.0
dc_only,-0.020317386247646507,0.1600895420563403,-0.08606349719821504,-0.11587761139925856,0.03630158785005577,0.4122807017543859
