variant,n_features,n_dc_features,best_epoch,best_score,val_auc,val_f1,test_auc,test_f1,val_fixed_cumret,val_fixed_sharpe,val_fixed_mdd,val_fixed_turnover,test_fixed_cumret,test_fixed_sharpe,test_fixed_mdd,test_fixed_turnover
full_features,48,10,3,2.7841772242043965,0.4849128062397835,0.6370569762225212,0.5127438930164656,0.5628346456692914,0.49775470746625405,0.97527449869535,-0.16351030425739066,1.0792079207920793,0.20518889531090112,0.4513559355907008,-0.29797437362553325,0.7894736842105263
no_dc,38,0,5,0.6850027037919207,0.48591391326926076,0.6308643837682909,0.5094378286303358,0.527139527139527,0.11853953746603696,0.34142989715738414,-0.27930215416154147,0.9801980198019802,0.012629486948182667,0.158592682683319,-0.3305384212362886,0.7894736842105263
dc_only,10,10,2,1.401498001092382,0.5190960186589787,0.691564377121964,0.4924265067688191,0.7229241877256317,0.24064493568541856,0.550698124266713,-0.18548730046897988,1.2079207920792079,0.11912539811268608,0.33547832419144225,-0.2616727857754775,1.2017543859649122
