split,cost_bps,periods,cumulative_return,annualized_return,sharpe,max_drawdown,win_rate,avg_turnover,avg_holdings,avg_exposure,avg_max_sector_weight,avg_distinct_sectors,nvda_presence_rate
val,10.0,101,0.36157689646014557,0.16650974645781558,0.7446720361317719,-0.2665948275098251,0.5346534653465347,0.6468646864686468,2.6831683168316833,1.0,0.48184818481848185,2.4752475247524752,0.019801980198019802
test,10.0,113,0.31265630575701375,0.12900912016023347,0.6936069171852903,-0.18685562192708083,0.5221238938053098,0.7345132743362832,2.0442477876106193,0.911504424778761,0.5309734513274336,1.9026548672566372,0.2920353982300885
val,20.0,101,0.2756088676619992,0.12915638331670865,0.6128304830780857,-0.28295297851297674,0.5346534653465347,0.6468646864686468,2.6831683168316833,1.0,0.48184818481848185,2.4752475247524752,0.019801980198019802
test,20.0,113,0.20809699018176486,0.08797485199109478,0.5130541359177313,-0.19160497585363379,0.48672566371681414,0.7345132743362832,2.0442477876106193,0.911504424778761,0.5309734513274336,1.9026548672566372,0.2920353982300885
