epoch,lr,train_loss,val_loss,val_auc,val_f1,val_fixed_cumret,val_fixed_sharpe,val_fixed_mdd,val_fixed_turnover,val_fixed_score
1,0.0003,0.6863294144530286,0.7018770357329926,0.4914468222945888,0.6855766657746857,-0.01158449269520112,0.11193847908324406,-0.41783855565605277,0.8910891089108911,-0.4364710605287061
2,0.0003,0.6807571471013472,0.6986980955281895,0.4847825016435966,0.6204986149584487,-0.07567934979089064,-0.0352611673728816,-0.2804273337244324,0.801980198019802,-0.433460065203812
3,0.0003,0.6794230381736291,0.7025459856330277,0.4829995670369982,0.6709035645205859,0.012350016501763372,0.15095707976340564,-0.33481940666859733,0.9504950495049505,-0.07041828490119653
4,0.0003,0.6778415661473937,0.7029513592967492,0.47837926983379847,0.5849518524563408,-0.06736904383116138,-0.00433930386509246,-0.36127816909447263,0.7920792079207921,-0.5960630838640444
5,0.0003,0.6765278181443328,0.7081805418351453,0.4774578644499643,0.599330890552812,-0.07060338334475413,-0.010467652475259331,-0.35586586844163914,0.801980198019802,-0.6000367066679146
6,0.00015,0.6744002235420965,0.707991881189708,0.4775980018469677,0.5890145395799676,-0.11501474791906219,-0.09287923672642706,-0.4002126028391957,0.8118811881188119,-0.9882079560263873
7,0.00015,0.6746138527463819,0.7143130507535801,0.47692681326440034,0.6107990012484394,-0.10300789166616553,-0.08976914671322297,-0.38901944091233454,0.8415841584158416,-0.9288500232581568
8,7.5e-05,0.6741871475106698,0.7120658701765323,0.47671848579344145,0.5733686651209009,-0.2063286715188466,-0.29792799268113573,-0.4307832794128802,0.8217821782178217,-1.6741304933712784
