start_time,open,high,low,close,volume
2018-01-02 00:00:00+00:00,111.1062674624152,111.33697110530876,110.35845019239073,110.76417541503906,6842100
2018-01-03 00:00:00+00:00,110.86757984842053,111.91769699159194,110.50162239393491,111.82223510742188,5350500
2018-01-04 00:00:00+00:00,111.73475611039707,112.28368637868691,111.55178340066836,111.81431579589844,4837600
2018-01-05 00:00:00+00:00,111.92568188058382,112.82465526065646,111.59950419447397,112.73714447021484,6158800
2018-01-08 00:00:00+00:00,112.72920732412493,112.96787427506233,112.10868053515091,112.88036346435547,5129800
2018-01-09 00:00:00+00:00,113.26221747876518,115.89548063949677,113.17470667255787,114.67034149169922,8897000
2018-01-10 00:00:00+00:00,114.20099679806287,114.68628189920256,114.01802403048455,114.53512573242188,6558600
2018-01-11 00:00:00+00:00,114.66235590697384,115.27491922716445,114.31231278737857,115.18740844726562,4962200
2018-01-12 00:00:00+00:00,115.34655063317602,116.48417885810805,115.27494206154606,115.95911407470703,5450600
2018-01-16 00:00:00+00:00,116.48417770077432,117.7888763944087,116.17391435713881,116.83422088623047,8804000
2018-01-17 00:00:00+00:00,117.61385185985593,117.99572376485833,115.7363574804549,116.92967987060547,10619700
2018-01-18 00:00:00+00:00,116.8899091209548,117.29564653418842,116.12618952975747,116.8819580078125,5554800
2018-01-19 00:00:00+00:00,117.31153904313342,117.46268299930139,116.48416214453111,117.23197937011719,8738800
2018-01-22 00:00:00+00:00,116.95354277565698,117.85251617431639,116.72283912650603,117.8525161743164,7010400
2018-01-23 00:00:00+00:00,116.91374591769414,117.295605579965,112.6655101359191,112.83258056640625,17473600
2018-01-24 00:00:00+00:00,114.16117246823546,114.20890342039083,112.80874288772152,113.02354431152344,13034400
2018-01-25 00:00:00+00:00,113.21442864282582,115.08397121102895,113.13488113000565,114.87712097167969,7938800
2018-01-26 00:00:00+00:00,114.9567511295,115.83185928093792,114.66240208724635,115.61705780029297,8065600
2018-01-29 00:00:00+00:00,115.23519227761184,115.3067887212716,114.18506254751367,114.30438995361328,8013400
2018-01-30 00:00:00+00:00,114.08162701317062,114.41576799812704,113.30994415283203,113.30994415283203,8376100
2018-01-31 00:00:00+00:00,113.42130279179445,113.42130279179445,109.86520167734261,109.93679809570312,13137400
2018-02-01 00:00:00+00:00,109.4117501595772,111.90977118604984,108.9901105570177,111.39266967773438,9393600
2018-02-02 00:00:00+00:00,110.59713378557467,111.66316564933017,109.2924349916534,109.53108978271484,9262500
2018-02-05 00:00:00+00:00,108.65597453245995,108.99010331952097,97.17621377215464,103.73152923583984,19954100
2018-02-06 00:00:00+00:00,103.42922494071014,105.79996749631046,101.83017730775147,104.87712860107422,19193500
2018-02-07 00:00:00+00:00,104.92487305701651,106.1500121942059,104.49528228242157,104.55096435546875,10550400
2018-02-08 00:00:00+00:00,104.14522141257719,104.41570489663908,100.32658749139387,100.52547454833984,11680200
2018-02-09 00:00:00+00:00,101.44831711912674,104.15318256833417,99.79358125862798,103.04737091064453,15030900
2018-02-12 00:00:00+00:00,103.42126883263298,104.47139831216431,101.57559720086343,103.63607025146484,9963900
2018-02-13 00:00:00+00:00,102.7928040901636,103.89861577286081,102.38706667666702,103.38946533203125,6339000
2018-02-14 00:00:00+00:00,102.97577972100201,103.4292359653263,102.14045153091536,103.15875244140625,6259700
2018-02-15 00:00:00+00:00,103.50083424637454,104.43957537334111,102.94394074897737,104.39979553222656,5606400
2018-02-16 00:00:00+00:00,104.18499809514208,106.96145355695995,104.08952405611095,105.92723846435547,7970100
2018-02-20 00:00:00+00:00,105.70449993840414,106.16591941434316,103.94634497331103,104.1134033203125,6563500
2018-02-21 00:00:00+00:00,104.05773087329916,105.35446648236322,103.30991345138833,103.34969329833984,6578000
2018-02-22 00:00:00+00:00,103.50084943329267,104.23275248860192,103.00760118148267,103.34969329833984,5732200
2018-02-23 00:00:00+00:00,103.4928677482136,105.07601311772623,103.43718568368249,105.02828216552734,5126800
2018-02-26 00:00:00+00:00,105.4526205904072,106.81371028784595,104.88415908560496,105.74085235595703,6684400
2018-02-27 00:00:00+00:00,105.8529470398286,106.5575041106784,105.36455464119912,105.42059326171875,7158600
2018-02-28 00:00:00+00:00,105.64477323376235,105.94902128681987,103.97943540238842,103.9874496459961,7985900
2018-03-01 00:00:00+00:00,103.37096970471362,104.17961435713796,101.29730213154612,101.90579223632812,9424000
2018-03-02 00:00:00+00:00,101.60954097465599,103.37095200299144,101.60954097465599,103.1387710571289,6910400
2018-03-05 00:00:00+00:00,102.98663126831799,104.32370255118566,102.62633243078011,103.91536712646484,5799800
2018-03-06 00:00:00+00:00,104.08352895730657,104.24365502002765,102.41819102796941,102.65838623046875,5546500
2018-03-07 00:00:00+00:00,102.06590901713346,103.54709642668188,101.89776871601863,103.31490325927734,6391700
2018-03-08 00:00:00+00:00,103.54709099291678,105.92500008048454,103.54709099291678,105.73284149169922,6423400
2018-03-09 00:00:00+00:00,106.09313326677679,107.14198520381774,105.33252533521666,107.12596893310547,7557800
2018-03-12 00:00:00+00:00,107.12595146108856,107.47022181582501,105.94100417517828,106.18920135498047,4942000
2018-03-13 00:00:00+00:00,107.12595892010062,108.39897744394993,106.84572918458638,107.56631469726562,9152300
2018-03-14 00:00:00+00:00,108.27889168967626,108.64718038325442,105.60473656375515,105.9410171508789,6770600
2018-03-15 00:00:00+00:00,106.12514694946849,107.47823448858507,106.06109409483679,106.5334701538086,6147200
2018-03-16 00:00:00+00:00,106.61355143166102,107.60634024956127,105.7648723904879,107.02987670898438,14233500
2018-03-19 00:00:00+00:00,106.76566350953611,106.86173668327471,103.57109609756563,104.27566528320312,6017000
2018-03-20 00:00:00+00:00,104.70802450335272,105.50866699823496,103.58712989725156,105.05230712890625,6214300
